blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.7363,6484.63,-29.76,0.0,0.0
1,+134.0%,3.2986,2919.28,-34.449,-0.4377,-3565.35
2,"+134.0%, +101.1%",2.8866,1490.73,-34.449,-0.8497,-4993.9
3,"+134.0%, +101.1%, +63.6%",2.5379,912.57,-34.449,-1.1984,-5572.07
