Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.3925,4.6,20.0,✓
5,5,1.6998,20.0,45.0,✓
10,10,2.9023,34.1,65.0,✓
20,21,5.0466,59.3,,
25,26,5.9313,69.7,,
