period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.013776,0.139425,-0.065698,0.39248,-0.176065,61,46
weekly,56,0.571429,0.095169,0.192796,-0.070001,0.778561,-0.122233,32,12
monthly,13,0.846154,0.460841,0.555111,-0.057644,1.34015,-0.079876,11,2
