aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.50297,1.00594,3.0598,-0.6765,2427.81,-33.48,72.52,Excellent
143844,0.60324,1.20648,2.9206,-0.8157,1986.24,-34.2,58.08,Excellent
206913,0.7235,1.44699,2.7517,-0.9846,1556.3,-35.05,44.4,Excellent
297635,0.86773,1.73546,2.5467,-1.1896,1154.93,-36.07,32.02,Excellent
428133,1.04072,2.08143,2.2975,-1.4388,798.7,-37.27,21.43,Institutional
615848,1.24819,2.49637,1.9942,-1.7421,501.23,-38.69,12.95,Survival
885866,1.49702,2.99403,1.6248,-2.1115,270.43,-42.28,6.4,Survival
1274274,1.79545,3.59091,1.1751,-2.5612,106.55,-53.7,1.98,Marginal
1832980,2.15338,4.30677,0.6288,-3.1075,2.04,-66.26,0.03,Unusable
2636650,2.58267,5.16534,-0.0317,-3.7681,-56.5,-84.58,-0.67,Unusable
3792690,3.09754,6.19507,-0.823,-4.5593,-84.51,-94.1,-0.9,Unusable
5455594,3.71504,7.43008,-1.756,-5.4923,-95.58,-98.23,-0.97,Unusable
7847599,4.45565,8.9113,-2.8292,-6.5655,-99.04,-99.59,-0.99,Unusable
11288378,5.3439,10.6878,-4.0195,-7.7558,-99.85,-99.93,-1.0,Unusable
16237767,6.40923,12.81846,-5.2758,-9.0122,-99.98,-99.99,-1.0,Unusable
23357214,7.68693,15.37387,-6.5224,-10.2588,-100.0,-100.0,-1.0,Unusable
33598182,9.21935,18.43871,-7.6757,-11.4121,-100.0,-100.0,-1.0,Unusable
48329302,11.05727,22.11454,-8.6692,-12.4055,-100.0,-100.0,-1.0,Unusable
69519279,13.26158,26.52316,-9.4708,-13.2071,-100.0,-100.0,-1.0,Unusable
100000000,15.90533,31.81066,-10.0833,-13.8196,-100.0,-100.0,-1.0,Unusable
