mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.6463,0.0,5.6462,22134.44,-10.93,1.5112,1.5112,100
return_noise,0.003,5.6463,0.0001,5.6461,22134.56,-10.93,1.5112,1.5111,100
return_noise,0.005,5.6463,0.0002,5.6458,22134.97,-10.93,1.5112,1.5111,100
return_noise,0.01,5.6463,0.0004,5.6451,22114.65,-10.93,1.5112,1.5109,100
signal_shuffle,0.02,3.7102,0.0695,3.4921,6212.37,-30.22,0.993,0.9346,100
signal_shuffle,0.05,3.6632,0.1231,3.2045,5907.06,-31.17,0.9804,0.8577,100
signal_shuffle,0.1,3.5941,0.1698,3.1845,5558.27,-31.95,0.9619,0.8523,100
signal_shuffle,0.2,3.4948,0.2638,2.6097,5218.08,-36.09,0.9354,0.6985,100
ranking_noise,0.02,3.6775,0.1183,3.3318,6123.62,-32.55,0.9843,0.8917,100
ranking_noise,0.05,3.5735,0.224,2.7979,5695.92,-36.86,0.9564,0.7488,100
ranking_noise,0.1,3.3394,0.2798,2.6876,4631.3,-42.82,0.8938,0.7193,100
