Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,delta,1,0.0895,0.0826,0.0553,0.2845,377,
CAGR%,delta,1,0.0184,0.7218,0.0544,0.2917,377,
Sortino,delta,1,0.0257,0.6189,0.0461,0.3716,377,
AvgDailyRet%,delta,1,0.0406,0.4324,0.0411,0.4261,377,
Calmar,delta,1,0.0212,0.6814,0.0404,0.4342,377,
CAGR%,level,1,-0.0423,0.412,-0.0188,0.7162,378,
Sortino,level,1,0.0262,0.6117,0.0169,0.7429,378,
AvgDailyRet%,level,1,-0.0231,0.6551,-0.0155,0.7635,378,
Sharpe,level,1,-0.0177,0.7318,-0.0088,0.864,378,
Calmar,level,1,-0.0383,0.4577,-0.0009,0.9856,378,
Sortino,delta,3,0.0395,0.4456,0.0624,0.2282,375,
Sharpe,delta,3,0.0559,0.2802,0.0443,0.3918,375,
CAGR%,delta,3,0.0051,0.9214,0.0424,0.413,375,
Calmar,delta,3,0.0057,0.9128,0.0392,0.4488,375,
AvgDailyRet%,delta,3,0.0189,0.7157,0.0341,0.5104,375,
CAGR%,level,3,-0.1186,0.0214,-0.0288,0.5778,376,
Sortino,level,3,0.051,0.3238,0.0262,0.6122,376,
AvgDailyRet%,level,3,-0.056,0.2785,-0.0239,0.6444,376,
Sharpe,level,3,-0.0648,0.2098,-0.0142,0.7834,376,
Calmar,level,3,-0.116,0.0245,-0.0114,0.826,376,
Sortino,delta,5,0.0616,0.2356,0.0771,0.1374,373,
Sharpe,delta,5,0.087,0.0934,0.0718,0.1665,373,
Calmar,delta,5,-0.0433,0.4042,0.0692,0.1825,373,
CAGR%,delta,5,-0.0452,0.3841,0.0623,0.2302,373,
AvgDailyRet%,delta,5,0.0618,0.2336,0.0608,0.2414,373,
CAGR%,level,5,-0.1144,0.027,-0.0462,0.3728,374,
Sharpe,level,5,-0.0981,0.058,-0.0443,0.3933,374,
Calmar,level,5,-0.1072,0.0383,-0.0406,0.4332,374,
AvgDailyRet%,level,5,-0.0775,0.1345,-0.0391,0.4514,374,
Sortino,level,5,0.015,0.7718,-0.0208,0.6887,374,
