aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.5238,1.0476,2.7693,-0.6928,1988.51,-41.06,48.43,Excellent
143844,0.62822,1.25644,2.6274,-0.8347,1589.21,-41.99,37.85,Excellent
206913,0.75346,1.50692,2.4556,-1.0065,1208.9,-43.08,28.06,Institutional
297635,0.90367,1.80733,2.2475,-1.2146,863.11,-44.37,19.45,Institutional
428133,1.08382,2.16763,1.9951,-1.467,565.82,-45.88,12.33,Survival
615848,1.29988,2.59976,1.6889,-1.7732,326.89,-47.64,6.86,Survival
885866,1.55902,3.11803,1.3171,-2.145,149.84,-49.69,3.02,Marginal
1274274,1.86981,3.73962,0.8663,-2.5958,30.92,-57.23,0.54,Unusable
1832980,2.24257,4.48513,0.3208,-3.1413,-40.02,-78.82,-0.51,Unusable
2636650,2.68963,5.37926,-0.3357,-3.7978,-76.66,-91.1,-0.84,Unusable
3792690,3.22582,6.45164,-1.1187,-4.5808,-92.57,-96.96,-0.95,Unusable
5455594,3.8689,7.7378,-2.0383,-5.5004,-98.15,-99.19,-0.99,Unusable
7847599,4.64018,9.28036,-3.0934,-6.5555,-99.66,-99.84,-1.0,Unusable
11288378,5.56522,11.13044,-4.2635,-7.7256,-99.96,-99.98,-1.0,Unusable
16237767,6.67467,13.34934,-5.5028,-8.9649,-100.0,-100.0,-1.0,Unusable
23357214,8.00529,16.01058,-6.7418,-10.2039,-100.0,-100.0,-1.0,Unusable
33598182,9.60118,19.20235,-7.9018,-11.3639,-100.0,-100.0,-1.0,Unusable
48329302,11.51521,23.03042,-8.916,-12.3781,-100.0,-100.0,-1.0,Unusable
69519279,13.81081,27.62162,-9.7477,-13.2098,-100.0,-100.0,-1.0,Unusable
100000000,16.56405,33.1281,-10.3936,-13.8557,-100.0,-100.0,-1.0,Unusable
