period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.013975,0.151624,-0.070906,0.3938,-0.23507,61,52
weekly,56,0.553571,0.099529,0.224486,-0.092363,0.838768,-0.275322,31,15
monthly,13,0.692308,0.483208,0.728873,-0.06954,1.870345,-0.094491,9,4
