taxonomy,label,n_days,sharpe,cagr_pct,maxdd_pct,calmar,wf_cv
Volatility,Vol: Low  (rvol30 ≤ p33),274,2.9487,3156.25,-40.688,77.572,0.6454
Volatility,Vol: Mid  (p33 < rvol30 ≤ p67),75,4.1742,9384.93,-24.764,378.974,nan
Volatility,Vol: High (rvol30 > p67),49,1.8144,321.98,-30.599,10.522,nan
Volatility,Vol: Spike (5d/60d ratio > 1.5×),46,1.4617,82.62,-6.765,12.213,nan
BTC Dominance,DOM: Low  (BTC mom ≤ p33 — alt-season),158,2.5831,2064.34,-37.169,55.54,nan
BTC Dominance,DOM: Mid  (neutral momentum),173,3.3983,3676.15,-28.213,130.298,nan
BTC Dominance,DOM: High (BTC mom > p67 — BTC dominant),67,3.7043,8321.02,-24.764,336.013,nan
Trend,Trend: Bull (21d BTC > +5%),92,3.5218,6765.22,-24.764,273.188,nan
Trend,Trend: Sideways (-5% to +5%),185,3.3215,2762.39,-27.141,101.78,0.0943
Trend,Trend: Bear  (21d BTC < -5%),121,2.7987,3179.48,-32.715,97.188,nan
