threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,3.5568,7,10.0,7,True,Robust plateau | baseline inside
0.975,3.6504,6,8.57,5,True,Robust plateau | baseline inside
0.99,3.7066,5,7.14,5,True,Robust plateau | baseline inside
