Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.3938,4.3,20.0,✓
5,5,1.8228,19.7,45.0,✓
10,11,3.3859,36.6,65.0,✓
20,22,5.6532,61.1,,
25,28,6.7317,72.8,,
