Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0739,0.1464,-0.0917,0.0713,388,
Sharpe,level,1,-0.1435,0.0212,-0.0887,0.1555,258,
AvgDailyRet%,level,1,-0.1439,0.0045,-0.0812,0.1101,388,
Calmar,level,1,-0.0649,0.3713,-0.0697,0.337,192,
Sortino,level,1,-0.0822,0.1061,-0.0512,0.3147,388,
Sortino,delta,1,0.0154,0.7634,-0.0243,0.6332,387,
CAGR%,delta,1,0.0625,0.2203,0.0065,0.8981,387,
Calmar,delta,1,0.0319,0.6609,-0.0056,0.9386,191,
Sharpe,delta,1,0.0107,0.8648,0.0043,0.945,257,
AvgDailyRet%,delta,1,-0.0048,0.9247,-0.0037,0.9426,387,
Sharpe,level,3,-0.2421,0.0001,-0.2339,0.0002,256,yes
Calmar,level,3,-0.1308,0.0707,-0.1552,0.0316,192,yes
CAGR%,level,3,-0.1796,0.0004,-0.1312,0.0099,386,yes
AvgDailyRet%,level,3,-0.2226,0.0,-0.1231,0.0155,386,yes
Calmar,delta,3,-0.0071,0.9227,-0.1092,0.1326,191,
Sortino,level,3,-0.1286,0.0114,-0.0871,0.0875,386,
Sharpe,delta,3,-0.056,0.373,-0.0829,0.1871,255,
AvgDailyRet%,delta,3,-0.0641,0.2092,-0.0683,0.1809,385,
CAGR%,delta,3,-0.0164,0.7479,-0.0626,0.2204,385,
Sortino,delta,3,-0.0539,0.2917,-0.0526,0.3029,385,
Sharpe,level,5,-0.2595,0.0,-0.2821,0.0,254,yes
Calmar,level,5,-0.1672,0.0205,-0.1439,0.0465,192,yes
CAGR%,level,5,-0.1742,0.0006,-0.1129,0.0269,384,yes
Sharpe,delta,5,-0.0681,0.2804,-0.1041,0.0984,253,
AvgDailyRet%,level,5,-0.2381,0.0,-0.1002,0.0499,384,yes
CAGR%,delta,5,-0.0107,0.8351,-0.0902,0.0779,383,
Sortino,delta,5,-0.0602,0.24,-0.0896,0.08,383,
AvgDailyRet%,delta,5,-0.0767,0.1338,-0.0849,0.0973,383,
Sortino,level,5,-0.1305,0.0105,-0.0716,0.1612,384,
Calmar,delta,5,0.0236,0.7462,-0.0681,0.349,191,
