Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.1962,4.2,20.0,✓
5,5,0.8668,18.5,45.0,✓
10,11,1.7023,36.3,65.0,✓
20,23,2.9581,63.1,,
25,29,3.4915,74.4,,
