blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.4849,16402.18,-50.034,0.0,0.0
1,+372.3%,2.8583,3874.25,-57.15,-0.6266,-12527.93
2,"+372.3%, +151.3%",2.4351,1607.25,-57.15,-1.0499,-14794.93
3,"+372.3%, +151.3%, +83.4%",2.1201,879.09,-57.15,-1.3648,-15523.09
