slippage_one_way_pct,round_trip_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
0.05,0.1,3.4365,-0.0484,14829.69,-50.42,294.12,Excellent
0.1,0.2,3.388,-0.0969,13405.69,-50.8,263.87,Excellent
0.25,0.5,3.2412,-0.2437,9892.05,-51.94,190.46,Excellent
0.5,1.0,2.9931,-0.4918,5935.0,-53.78,110.36,Excellent
1.0,2.0,2.4847,-1.0003,2084.76,-57.28,36.39,Strong
