Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.5352,4.3,20.0,✓
5,5,2.3327,18.8,45.0,✓
10,11,4.4534,35.8,65.0,✓
20,22,7.5277,60.6,,
25,28,8.9984,72.4,,
