aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.61109,1.22218,2.8815,-0.6034,4719.69,-54.58,86.47,Excellent
143844,0.73291,1.46582,2.7582,-0.7267,3664.24,-55.44,66.09,Excellent
206913,0.87902,1.75804,2.6091,-0.8758,2696.3,-56.46,47.76,Excellent
297635,1.05426,2.10852,2.4286,-1.0563,1855.46,-57.65,32.18,Institutional
428133,1.26443,2.52886,2.2098,-1.2751,1171.22,-59.04,19.84,Institutional
615848,1.5165,3.033,1.9444,-1.5405,656.56,-60.66,10.82,Survival
885866,1.81882,3.63764,1.6223,-1.8626,304.57,-62.53,4.87,Survival
1274274,2.18141,4.36281,1.2312,-2.2537,89.98,-64.67,1.39,Marginal
1832980,2.61628,5.23256,0.757,-2.7279,-23.85,-80.78,-0.3,Unusable
2636650,3.13784,6.27569,0.1838,-3.3011,-74.84,-93.07,-0.8,Unusable
3792690,3.76339,7.52677,-0.505,-3.9899,-93.44,-97.99,-0.95,Unusable
5455594,4.51363,9.02726,-1.3241,-4.809,-98.72,-99.58,-0.99,Unusable
7847599,5.41344,10.82689,-2.2814,-5.7663,-99.83,-99.94,-1.0,Unusable
11288378,6.49263,12.98527,-3.3717,-6.8566,-99.99,-99.99,-1.0,Unusable
16237767,7.78697,15.57393,-4.5682,-8.0531,-100.0,-100.0,-1.0,Unusable
23357214,9.33933,18.67866,-5.818,-9.303,-100.0,-100.0,-1.0,Unusable
33598182,11.20116,22.40232,-7.0473,-10.5322,-100.0,-100.0,-1.0,Unusable
48329302,13.43416,26.86831,-8.1776,-11.6625,-100.0,-100.0,-1.0,Unusable
69519279,16.11231,32.22462,-9.1485,-12.6335,-100.0,-100.0,-1.0,Unusable
100000000,19.32436,38.64872,-9.9324,-13.4174,-100.0,-100.0,-1.0,Unusable
