shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.4849,16402.18,-50.034,0.0,0.0,True
-10.0,1,3.4327,14882.27,-55.031,-0.0523,-4.997,False
-10.0,3,3.3839,13585.6,-59.258,-0.1011,-9.223,False
-10.0,5,3.2803,11180.72,-66.999,-0.2046,-16.964,False
-20.0,1,3.3726,13348.27,-60.027,-0.1123,-9.993,False
-20.0,3,3.2063,9797.61,-71.385,-0.2786,-21.351,False
-20.0,5,2.9903,6473.26,-81.687,-0.4946,-31.652,False
-30.0,1,3.3054,11798.25,-65.024,-0.1795,-14.99,False
-30.0,3,3.0132,6754.56,-80.83,-0.4718,-30.796,False
-30.0,5,2.6834,3463.39,-90.607,-0.8015,-40.573,False
-40.0,1,3.2318,10229.68,-70.021,-0.2531,-19.986,False
-40.0,3,2.8098,4385.3,-87.928,-0.6752,-37.894,False
-40.0,5,2.372,1657.45,-95.654,-1.1129,-45.62,False
