EARLY_KILL_Y,PORT_SL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,-0.04,1.6238,272.77,-63.361,-12.568,4.305,1.5567,False
0.0,-0.05,2.3086,832.32,-62.87,-13.013,13.239,1.197,False
0.0,-0.055,2.2823,807.56,-67.261,-14.432,12.006,1.3261,False
0.0,-0.06,2.3033,836.1,-63.933,-15.944,13.078,1.2655,False
0.0,-0.065,2.5427,1178.23,-59.47,-15.944,19.812,1.1924,False
0.0,-0.07,2.5493,1188.87,-57.686,-16.764,20.609,1.1693,False
0.0,-0.075,2.5356,1167.73,-57.686,-17.078,20.243,1.1781,False
0.0,-0.08,2.5356,1167.73,-57.686,-17.078,20.243,1.1781,False
0.0,-0.085,2.5356,1167.73,-57.686,-17.078,20.243,1.1781,False
0.0,-0.1,2.5356,1167.73,-57.686,-17.078,20.243,1.1781,False
0.0005,-0.04,1.9229,445.65,-52.507,-12.568,8.488,1.1233,False
0.0005,-0.05,2.5386,1144.83,-50.929,-13.013,22.479,0.8542,False
0.0005,-0.055,2.5205,1127.44,-56.122,-14.432,20.089,0.9567,False
0.0005,-0.06,2.55,1180.16,-51.074,-15.944,23.107,0.9038,False
0.0005,-0.065,2.7978,1655.33,-44.77,-15.944,36.974,0.902,False
0.0005,-0.07,2.8046,1669.94,-42.924,-16.764,38.905,0.8755,False
0.0005,-0.075,2.7903,1640.9,-42.924,-17.078,38.229,0.8826,False
0.0005,-0.08,2.7903,1640.9,-42.924,-17.078,38.229,0.8826,False
0.0005,-0.085,2.7903,1640.9,-42.924,-17.078,38.229,0.8826,False
0.0005,-0.1,2.7903,1640.9,-42.924,-17.078,38.229,0.8826,False
0.0008,-0.04,2.1155,594.33,-52.507,-12.568,11.319,1.1262,False
0.0008,-0.05,2.7367,1491.79,-50.929,-13.013,29.291,0.8701,False
0.0008,-0.055,2.7238,1482.61,-56.122,-14.432,26.418,0.9642,False
0.0008,-0.06,2.76,1564.35,-51.074,-15.944,30.629,0.9112,False
0.0008,-0.065,3.0216,2207.16,-44.77,-15.944,49.3,0.8931,False
0.0008,-0.07,3.0426,2263.5,-42.728,-16.764,52.975,0.8656,False
0.0008,-0.075,3.0314,2234.27,-42.728,-17.078,52.29,0.8712,False
0.0008,-0.08,3.0314,2234.27,-42.728,-17.078,52.29,0.8712,False
0.0008,-0.085,3.0314,2234.27,-42.728,-17.078,52.29,0.8712,False
0.0008,-0.1,3.0314,2234.27,-42.728,-17.078,52.29,0.8712,False
0.001,-0.04,2.3495,826.56,-52.507,-12.568,15.742,1.1285,False
0.001,-0.05,2.7667,1470.52,-50.929,-13.013,28.874,0.8795,False
0.001,-0.055,2.7526,1461.46,-56.122,-14.432,26.041,0.9701,False
0.001,-0.06,2.7896,1542.11,-51.074,-15.944,30.194,0.9171,False
0.001,-0.065,3.0585,2176.34,-44.77,-15.944,48.612,0.9015,False
0.001,-0.07,3.0802,2231.92,-42.339,-16.764,52.716,0.8747,False
