slippage_one_way_pct,round_trip_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
0.05,0.1,1.2077,-0.1535,83.79,-77.74,1.08,Weak
0.1,0.2,1.0541,-0.307,38.42,-78.42,0.49,Weak
0.25,0.5,0.5932,-0.768,-40.98,-84.21,-0.49,Unusable
0.5,1.0,-0.1757,-1.5369,-85.83,-94.46,-0.91,Unusable
1.0,2.0,-1.7116,-3.0728,-99.2,-99.52,-1.0,Unusable
