threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,1.2948,108,100.0,108,False,Robust plateau | baseline outside
0.975,1.3288,108,100.0,108,False,Robust plateau | baseline outside
0.99,1.3493,108,100.0,108,False,Robust plateau | baseline outside
