PORT_SL,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
-0.04,0.8,0.4169,6.76,-42.197,-4.57,0.16,8.8787,False
-0.04,1.0,0.4169,2.01,-51.354,-5.713,0.039,8.8787,False
-0.04,1.2,0.4169,-4.86,-59.944,-6.855,-0.081,8.8787,False
-0.04,1.4,0.4169,-13.35,-67.553,-7.997,-0.198,8.8787,False
-0.04,1.5,0.4169,-18.03,-70.975,-8.569,-0.254,8.8787,False
-0.04,1.6,0.4169,-22.91,-74.142,-9.14,-0.309,8.8787,False
-0.04,1.8,0.4169,-32.99,-79.724,-10.283,-0.414,8.8787,False
-0.04,2.0,0.4169,-43.08,-84.355,-11.425,-0.511,8.8787,False
-0.05,0.8,1.365,98.82,-37.433,-4.832,2.64,2.9336,False
-0.05,1.0,1.365,121.21,-44.561,-6.04,2.72,2.9336,False
-0.05,1.2,1.365,139.97,-50.987,-7.248,2.745,2.9336,False
-0.05,1.4,1.365,153.89,-56.745,-8.456,2.712,2.9336,False
-0.05,1.5,1.365,158.74,-59.393,-9.06,2.673,2.9336,False
-0.05,1.6,1.365,162.06,-61.896,-9.664,2.618,2.9336,False
-0.05,1.8,1.365,163.96,-66.494,-10.872,2.466,2.9336,False
-0.05,2.0,1.365,159.49,-70.592,-12.08,2.259,2.9336,False
-0.055,0.8,1.3373,95.81,-37.763,-5.248,2.537,3.0953,False
-0.055,1.0,1.3373,116.79,-45.263,-6.56,2.58,3.0953,False
-0.055,1.2,1.3373,133.91,-52.081,-7.872,2.571,3.0953,False
-0.055,1.4,1.3373,146.03,-58.227,-9.184,2.508,3.0953,False
-0.055,1.5,1.3373,149.94,-61.06,-9.84,2.456,3.0953,False
-0.055,1.6,1.3373,152.33,-63.74,-10.496,2.39,3.0953,False
-0.055,1.8,1.3373,152.4,-68.66,-11.808,2.22,3.0953,False
-0.055,2.0,1.3373,146.28,-73.03,-13.12,2.003,3.0953,False
-0.06,0.8,1.3629,99.49,-39.296,-5.958,2.532,2.8004,False
-0.06,1.0,1.3629,121.75,-46.762,-7.447,2.604,2.8004,False
-0.06,1.2,1.3629,140.15,-53.434,-8.937,2.623,2.8004,False
-0.06,1.4,1.3629,153.46,-59.379,-10.426,2.584,2.8004,False
-0.06,1.5,1.3629,157.9,-62.099,-11.171,2.543,2.8004,False
-0.06,1.6,1.3629,160.75,-64.661,-11.916,2.486,2.8004,False
-0.06,1.8,1.3629,161.53,-69.341,-13.405,2.329,2.8004,False
-0.06,2.0,1.3629,155.78,-73.476,-14.895,2.12,2.8004,False
-0.065,0.8,1.5817,130.0,-39.469,-5.958,3.294,2.3127,False
-0.065,1.0,1.5817,165.12,-46.958,-7.447,3.516,2.3127,False
-0.065,1.2,1.5817,197.83,-53.647,-8.937,3.688,2.3127,False
-0.065,1.4,1.5817,226.15,-59.602,-10.426,3.794,2.3127,False
-0.065,1.5,1.5817,238.09,-62.326,-11.171,3.82,2.3127,False
-0.065,1.6,1.5817,248.27,-64.89,-11.916,3.826,2.3127,False
-0.065,1.8,1.5817,262.69,-69.572,-13.405,3.776,2.3127,False
-0.065,2.0,1.5817,268.44,-73.706,-14.895,3.642,2.3127,False
-0.07,0.8,1.5799,129.82,-38.833,-6.146,3.343,2.3346,False
-0.07,1.0,1.5799,164.83,-46.253,-7.683,3.564,2.3346,False
-0.07,1.2,1.5799,197.38,-52.897,-9.219,3.731,2.3346,False
-0.07,1.4,1.5799,225.52,-58.83,-10.755,3.833,2.3346,False
-0.07,1.5,1.5799,237.36,-61.549,-11.524,3.856,2.3346,False
-0.07,1.6,1.5799,247.42,-64.114,-12.292,3.859,2.3346,False
-0.07,1.8,1.5799,261.6,-68.805,-13.829,3.802,2.3346,False
-0.07,2.0,1.5799,267.1,-72.959,-15.365,3.661,2.3346,False
-0.075,0.8,1.5651,127.73,-38.833,-6.21,3.289,2.3491,False
-0.075,1.0,1.5651,161.78,-46.253,-7.763,3.498,2.3491,False
-0.075,1.2,1.5651,193.22,-52.897,-9.315,3.653,2.3491,False
-0.075,1.4,1.5651,220.12,-58.83,-10.867,3.742,2.3491,False
-0.075,1.5,1.5651,231.31,-61.549,-11.644,3.758,2.3491,False
-0.075,1.6,1.5651,240.73,-64.114,-12.42,3.755,2.3491,False
-0.075,1.8,1.5651,253.64,-68.805,-13.972,3.686,2.3491,False
-0.075,2.0,1.5651,257.97,-72.959,-15.525,3.536,2.3491,False
-0.08,0.8,1.5651,127.73,-38.833,-6.21,3.289,2.3491,False
-0.08,1.0,1.5651,161.78,-46.253,-7.763,3.498,2.3491,False
-0.08,1.2,1.5651,193.22,-52.897,-9.315,3.653,2.3491,False
-0.08,1.4,1.5651,220.12,-58.83,-10.867,3.742,2.3491,False
-0.08,1.5,1.5651,231.31,-61.549,-11.644,3.758,2.3491,False
-0.08,1.6,1.5651,240.73,-64.114,-12.42,3.755,2.3491,False
-0.08,1.8,1.5651,253.64,-68.805,-13.972,3.686,2.3491,False
-0.08,2.0,1.5651,257.97,-72.959,-15.525,3.536,2.3491,False
-0.085,0.8,1.5651,127.73,-38.833,-6.21,3.289,2.3491,False
-0.085,1.0,1.5651,161.78,-46.253,-7.763,3.498,2.3491,False
-0.085,1.2,1.5651,193.22,-52.897,-9.315,3.653,2.3491,False
-0.085,1.4,1.5651,220.12,-58.83,-10.867,3.742,2.3491,False
-0.085,1.5,1.5651,231.31,-61.549,-11.644,3.758,2.3491,False
-0.085,1.6,1.5651,240.73,-64.114,-12.42,3.755,2.3491,False
-0.085,1.8,1.5651,253.64,-68.805,-13.972,3.686,2.3491,False
-0.085,2.0,1.5651,257.97,-72.959,-15.525,3.536,2.3491,False
-0.1,0.8,1.5651,127.73,-38.833,-6.21,3.289,2.3491,False
-0.1,1.0,1.5651,161.78,-46.253,-7.763,3.498,2.3491,False
-0.1,1.2,1.5651,193.22,-52.897,-9.315,3.653,2.3491,False
-0.1,1.4,1.5651,220.12,-58.83,-10.867,3.742,2.3491,False
-0.1,1.5,1.5651,231.31,-61.549,-11.644,3.758,2.3491,False
-0.1,1.6,1.5651,240.73,-64.114,-12.42,3.755,2.3491,False
-0.1,1.8,1.5651,253.64,-68.805,-13.972,3.686,2.3491,False
-0.1,2.0,1.5651,257.97,-72.959,-15.525,3.536,2.3491,False
