shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,1.3612,143.98,-77.119,0.0,0.0,True
-10.0,1,1.382,153.87,-76.259,0.0208,0.86,False
-10.0,3,1.2992,117.54,-79.808,-0.062,-2.689,False
-10.0,5,1.0932,49.21,-86.615,-0.268,-9.496,False
-20.0,1,1.3264,127.87,-78.761,-0.0348,-1.642,False
-20.0,3,1.1354,57.33,-85.819,-0.2258,-8.7,False
-20.0,5,0.8263,-13.06,-92.572,-0.5349,-15.453,False
-30.0,1,1.2679,101.61,-81.416,-0.0933,-4.297,False
-30.0,3,0.9684,8.96,-90.5,-0.3928,-13.381,False
-30.0,5,0.5635,-52.87,-96.19,-0.7977,-19.071,False
-40.0,1,1.2071,75.03,-84.07,-0.1541,-6.952,False
-40.0,3,0.8022,-28.7,-94.017,-0.5589,-16.898,False
-40.0,5,0.3134,-76.75,-98.237,-1.0477,-21.119,False
