taxonomy,label,n_days,sharpe,cagr_pct,maxdd_pct,calmar,wf_cv
Volatility,Vol: Low  (rvol30 ≤ p33),274,0.2387,-73.07,-81.541,-0.896,3.8567
Volatility,Vol: Mid  (p33 < rvol30 ≤ p67),75,1.8105,480.43,-38.103,12.609,nan
Volatility,Vol: High (rvol30 > p67),49,1.5534,265.27,-33.97,7.809,nan
Volatility,Vol: Spike (5d/60d ratio > 1.5×),46,0.6337,20.6,-13.503,1.526,nan
BTC Dominance,DOM: Low  (BTC mom ≤ p33 — alt-season),158,0.4299,-53.48,-82.693,-0.647,nan
BTC Dominance,DOM: Mid  (neutral momentum),173,0.5988,-41.02,-67.766,-0.605,nan
BTC Dominance,DOM: High (BTC mom > p67 — BTC dominant),67,1.3634,105.11,-76.388,1.376,nan
Trend,Trend: Bull (21d BTC > +5%),92,1.4658,156.51,-72.207,2.168,nan
Trend,Trend: Sideways (-5% to +5%),185,0.769,-14.52,-68.238,-0.213,8.3086
Trend,Trend: Bear  (21d BTC < -5%),121,-0.1601,-84.0,-76.15,-1.103,nan
