EARLY_FILL_Y,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.07,0.0,1.8529,367.38,-63.687,-15.944,5.769,1.5562,False
0.07,0.0005,2.1205,539.17,-50.739,-15.944,10.626,1.0916,False
0.07,0.0008,2.3493,730.99,-50.739,-15.944,14.407,1.1052,False
0.07,0.001,2.3778,719.88,-50.739,-15.944,14.188,1.1061,False
0.07,0.0015,2.3426,652.08,-48.875,-15.944,13.342,1.0483,False
0.07,0.002,2.2708,568.65,-44.245,-15.944,12.852,1.1267,False
0.07,0.0025,2.1529,468.89,-44.245,-15.944,10.598,1.3583,False
0.07,0.003,2.3015,557.98,-37.307,-15.944,14.956,1.187,False
0.08,0.0,2.1575,627.37,-64.645,-15.944,9.705,1.4337,False
0.08,0.0005,2.4138,894.71,-52.039,-15.944,17.193,1.0269,False
0.08,0.0008,2.6325,1193.24,-52.039,-15.944,22.93,1.047,False
0.08,0.001,2.6632,1175.96,-52.039,-15.944,22.598,1.0499,False
0.08,0.0015,2.6337,1070.43,-50.224,-15.944,21.313,0.9894,False
0.08,0.002,2.5695,940.59,-45.715,-15.944,20.575,1.0376,False
0.08,0.0025,2.4541,774.69,-45.715,-15.944,16.946,1.1921,False
0.08,0.003,2.5945,911.68,-39.762,-15.944,22.929,1.0639,False
0.09,0.0,2.3033,836.1,-63.933,-15.944,13.078,1.2655,False
0.09,0.0005,2.55,1180.16,-51.074,-15.944,23.107,0.9038,False
0.09,0.0008,2.76,1564.35,-51.074,-15.944,30.629,0.9112,False
0.09,0.001,2.7896,1542.11,-51.074,-15.944,30.194,0.9171,False
0.09,0.0015,2.7613,1406.31,-49.222,-15.944,28.571,0.8661,False
0.09,0.002,2.6847,1204.79,-44.623,-15.944,26.999,0.8929,False
0.09,0.0025,2.6596,1125.45,-44.623,-15.944,25.221,1.0303,False
0.09,0.003,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.1,0.0,2.111,667.98,-65.28,-15.944,10.233,1.1309,False
0.1,0.0005,2.3435,950.26,-52.9,-15.944,17.963,0.8157,False
0.1,0.0008,2.5413,1265.45,-52.9,-15.944,23.921,0.8439,False
0.1,0.001,2.5615,1247.21,-52.9,-15.944,23.577,0.8519,False
0.1,0.0015,2.5259,1135.79,-51.118,-15.944,22.219,0.8116,False
0.1,0.002,2.4374,957.19,-46.862,-15.944,20.426,0.8353,False
0.1,0.0025,2.3982,877.7,-46.862,-15.944,18.73,0.9614,False
0.1,0.003,2.5221,1030.82,-46.862,-15.944,21.997,0.8578,False
0.15,0.0,2.3734,1304.13,-62.83,-15.944,20.756,0.9038,False
0.15,0.0005,2.5774,1820.22,-49.618,-15.944,36.685,0.7023,False
0.15,0.0008,2.7504,2396.5,-49.618,-15.944,48.299,0.7357,False
0.15,0.001,2.7512,2281.16,-49.618,-15.944,45.975,0.7446,False
0.15,0.0015,2.7475,2212.52,-49.618,-15.944,44.591,0.6885,False
0.15,0.002,2.6345,1739.48,-49.618,-15.944,35.058,0.7224,False
0.15,0.0025,2.5856,1560.74,-49.618,-15.944,31.455,1.0523,False
