period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.346734,0.006855,0.107559,-0.071265,0.35926,-0.163845,138,170
weekly,56,0.5,0.051313,0.250521,-0.153373,0.967676,-0.50592,28,27
monthly,13,0.692308,0.380846,0.762186,-0.477169,2.75567,-0.719605,9,4
