Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,3,0.9315,6.3,20.0,✓
5,15,3.665,24.7,45.0,✓
10,30,6.6701,44.9,65.0,✓
20,61,11.4024,76.8,,
25,77,12.9061,86.9,,
