drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,0.449,-52.6,-82.34,305,93,4.723,1.011,77.8,2
0.023,1.4,0.58,-42.3,-82.34,314,84,5.007,1.019,77.8,2
0.024,1.4,0.501,-50.3,-84.21,316,82,5.804,0.847,77.8,2
0.025,1.4,0.48,-52.2,-84.86,317,81,6.043,0.813,77.8,2
0.026,1.4,0.511,-49.4,-83.89,318,80,5.789,0.856,77.8,2
0.027,1.4,0.471,-53.3,-82.87,323,75,6.018,0.829,66.7,3
0.028,1.4,0.471,-53.3,-82.87,323,75,6.018,0.829,66.7,3
0.029,1.4,0.471,-53.9,-84.75,325,73,6.049,0.866,66.7,3
0.03,1.4,0.656,-36.2,-83.05,327,71,5.469,0.972,66.7,3
0.031,1.4,0.621,-40.4,-83.16,328,70,5.469,0.972,66.7,3
0.032,1.4,0.668,-35.1,-83.16,329,69,5.469,0.972,66.7,3
0.033,1.4,0.657,-36.5,-83.16,331,67,5.469,0.972,66.7,3
0.034,1.4,0.657,-36.5,-83.16,331,67,5.469,0.972,66.7,3
0.035,1.4,0.657,-36.5,-83.16,331,67,5.469,0.972,66.7,3
0.04,1.4,0.687,-33.8,-85.35,334,64,5.438,0.932,66.7,3
