EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,2.7896,1542.11,-51.074,-15.944,30.194,0.9171,False
0.001,0.0015,2.7613,1406.31,-49.222,-15.944,28.571,0.8661,False
0.001,0.002,2.6847,1204.79,-44.623,-15.944,26.999,0.8929,False
0.001,0.0025,2.6596,1125.45,-44.623,-15.944,25.221,1.0303,False
0.001,0.003,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.0015,0.001,2.7613,1406.31,-49.222,-15.944,28.571,0.8661,False
0.0015,0.0015,2.7613,1406.31,-49.222,-15.944,28.571,0.8661,False
0.0015,0.002,2.6847,1204.79,-44.623,-15.944,26.999,0.8929,False
0.0015,0.0025,2.6596,1125.45,-44.623,-15.944,25.221,1.0303,False
0.0015,0.003,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.002,0.001,2.6847,1204.79,-44.623,-15.944,26.999,0.8929,False
0.002,0.0015,2.6847,1204.79,-44.623,-15.944,26.999,0.8929,False
0.002,0.002,2.6847,1204.79,-44.623,-15.944,26.999,0.8929,False
0.002,0.0025,2.6596,1125.45,-44.623,-15.944,25.221,1.0303,False
0.002,0.003,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.0025,0.001,2.6596,1125.45,-44.623,-15.944,25.221,1.0303,False
0.0025,0.0015,2.6596,1125.45,-44.623,-15.944,25.221,1.0303,False
0.0025,0.002,2.6596,1125.45,-44.623,-15.944,25.221,1.0303,False
0.0025,0.0025,2.6596,1125.45,-44.623,-15.944,25.221,1.0303,False
0.0025,0.003,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.003,0.001,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.003,0.0015,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.003,0.002,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.003,0.0025,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
0.003,0.003,2.7933,1317.37,-39.762,-15.944,33.132,0.915,False
