surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,2.6536,6,9.38,6,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,2.7235,4,6.25,3,False,Robust plateau | baseline outside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,2.7654,2,3.12,1,False,Thin plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.95,1.8147,20,11.11,16,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,1.8624,12,6.67,12,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,1.8911,4,2.22,4,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,1.2948,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,1.3288,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,1.3493,108,100.0,108,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,1.6225,44,22.22,44,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,1.6652,44,22.22,44,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,1.6908,44,22.22,44,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,1.5026,48,60.0,48,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,1.5422,48,60.0,48,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,1.5659,16,20.0,16,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,2.9438,36,45.0,36,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,3.0212,24,30.0,18,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,3.0677,11,13.75,6,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,2.684,28,35.0,19,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,2.7547,14,17.5,9,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,2.797,3,3.75,3,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,2.7303,33,34.38,26,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,2.8022,10,10.42,9,False,Robust plateau | baseline outside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,2.8453,3,3.12,3,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,1.8425,3,4.29,3,False,Robust plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,1.891,2,2.86,2,False,Thin plateau | baseline outside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,1.9201,1,1.43,1,False,Single-cell peak | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,2.6536,25,100.0,25,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,2.7235,13,52.0,9,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,2.7654,10,40.0,9,False,Robust plateau | baseline outside
