n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,1.3612,143.98,-77.119,0.0,0.0
1,35.9%,1.204,84.4,-77.119,-0.1572,-59.57
3,"35.9%, 29.0%, 28.2%",0.9365,16.18,-77.119,-0.4247,-127.79
5,"35.9%, 29.0%, 28.2%, 27.7%, 25.1%",0.6764,-24.77,-77.119,-0.6848,-168.75
10,"35.9%, 29.0%, 28.2%, 27.7%, 25.1% … +5 more",0.0794,-71.17,-80.513,-1.2818,-215.14
