mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,8.887,0.0,8.887,5667284.08,-17.8,6.5289,6.5289,100
return_noise,0.003,8.887,0.0001,8.8868,5667130.21,-17.8,6.5289,6.5288,100
return_noise,0.005,8.8871,0.0002,8.8865,5667331.83,-17.8,6.5289,6.5285,100
return_noise,0.01,8.8884,0.0097,8.8862,5684280.99,-17.8,6.5299,6.5283,100
signal_shuffle,0.02,1.3364,0.0649,1.1832,134.78,-77.28,0.9818,0.8693,100
signal_shuffle,0.05,1.3105,0.1656,0.7782,132.54,-77.38,0.9627,0.5717,100
signal_shuffle,0.1,1.2714,0.1886,0.8155,119.01,-77.71,0.934,0.5991,100
signal_shuffle,0.2,1.2826,0.2983,0.2925,144.34,-77.87,0.9422,0.2149,100
ranking_noise,0.02,1.3442,0.1134,1.0477,141.59,-77.72,0.9876,0.7697,100
ranking_noise,0.05,1.3115,0.2069,0.8826,139.13,-78.53,0.9635,0.6484,100
ranking_noise,0.1,1.1941,0.2847,0.1257,105.02,-80.43,0.8773,0.0923,100
