window_days,min_cum_ret,start_idx,end_idx
1,-0.163845,112,112
3,-0.404085,277,279
7,-0.660880,273,279
14,-1.148070,270,283
21,-1.150655,264,284
30,-1.251360,264,293
40,-1.243385,89,128
50,-1.137235,264,313
60,-0.941435,270,329
70,-0.967835,270,339
80,-0.976085,264,343
90,-0.849640,226,315
100,-0.689480,263,362
