drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,2.846,2350.1,-40.78,101,297,0.743,2.928,88.9,1
0.023,1.4,2.885,2612.3,-40.78,104,294,0.806,2.985,77.8,2
0.024,1.4,2.885,2612.3,-40.78,104,294,0.806,2.985,77.8,2
0.025,1.4,2.854,2493.0,-40.78,105,293,0.819,2.94,77.8,2
0.026,1.4,2.854,2493.0,-40.78,105,293,0.819,2.94,77.8,2
0.027,1.4,2.85,2497.7,-40.78,109,289,0.821,2.92,77.8,2
0.028,1.4,2.85,2497.7,-40.78,109,289,0.821,2.92,77.8,2
0.029,1.4,2.942,2922.2,-40.78,110,288,0.825,3.054,77.8,2
0.03,1.4,3.062,3642.1,-40.78,111,287,0.825,3.054,77.8,2
0.031,1.4,2.995,3291.8,-40.78,112,286,0.825,3.054,77.8,2
0.032,1.4,2.995,3291.8,-40.78,112,286,0.825,3.054,77.8,2
0.033,1.4,2.99,3282.8,-43.27,114,284,0.825,3.054,77.8,2
0.034,1.4,2.99,3282.8,-43.27,114,284,0.825,3.054,77.8,2
0.035,1.4,2.99,3282.8,-43.27,114,284,0.825,3.054,77.8,2
0.04,1.4,2.964,3263.7,-43.27,116,282,0.777,3.033,77.8,2
