mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.7037,0.0,5.7036,115825.27,-14.75,1.5114,1.5114,100
return_noise,0.003,5.7037,0.0001,5.7034,115825.31,-14.75,1.5114,1.5113,100
return_noise,0.005,5.7037,0.0002,5.7033,115828.41,-14.75,1.5114,1.5113,100
return_noise,0.01,5.7037,0.0004,5.7028,115693.01,-14.75,1.5114,1.5112,100
signal_shuffle,0.02,3.7476,0.0695,3.4942,18291.93,-41.04,0.9931,0.9259,100
signal_shuffle,0.05,3.6995,0.1255,3.2493,17217.04,-41.74,0.9803,0.861,100
signal_shuffle,0.1,3.6256,0.1753,3.1555,16036.72,-42.4,0.9607,0.8362,100
signal_shuffle,0.2,3.5289,0.2729,2.6243,15026.93,-47.22,0.9351,0.6954,100
ranking_noise,0.02,3.7126,0.1181,3.3266,18139.78,-43.66,0.9838,0.8815,100
ranking_noise,0.05,3.604,0.2197,2.858,16757.53,-47.78,0.955,0.7573,100
ranking_noise,0.1,3.3661,0.2904,2.7082,12538.6,-53.72,0.892,0.7176,100
