period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.018765,0.2038,-0.095447,0.5352,-0.32055,61,52
weekly,56,0.553571,0.136189,0.309609,-0.131419,1.352946,-0.369305,31,15
monthly,13,0.692308,0.727583,1.113458,-0.140634,3.722648,-0.189484,9,4
