aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.37449,0.74898,2.3406,-1.0235,325.75,-25.68,12.69,Institutional
143844,0.44914,0.89829,2.1295,-1.2346,263.83,-26.48,9.96,Institutional
206913,0.53868,1.07737,1.8737,-1.4904,201.23,-27.44,7.33,Survival
297635,0.64607,1.29215,1.5636,-1.8005,140.09,-28.58,4.9,Survival
428133,0.77487,1.54974,1.1876,-2.1765,82.77,-29.92,2.77,Marginal
615848,0.92934,1.85869,0.7323,-2.6318,31.65,-33.87,0.93,Unusable
885866,1.11461,2.22923,0.1823,-3.1817,-11.29,-47.26,-0.24,Unusable
1274274,1.33682,2.67363,-0.4784,-3.8425,-44.86,-65.3,-0.69,Unusable
1832980,1.60332,3.20663,-1.2649,-4.629,-68.91,-79.38,-0.87,Unusable
2636650,1.92294,3.84589,-2.187,-5.5511,-84.43,-89.27,-0.95,Unusable
3792690,2.30629,4.61258,-3.2432,-6.6073,-93.25,-95.14,-0.98,Unusable
5455594,2.76606,5.53211,-4.4131,-7.7772,-97.54,-98.37,-0.99,Unusable
7847599,3.31748,6.63496,-5.6519,-9.016,-99.28,-99.57,-1.0,Unusable
11288378,3.97884,7.95767,-6.8918,-10.2559,-99.84,-99.91,-1.0,Unusable
16237767,4.77203,9.54406,-8.0553,-11.4194,-99.97,-99.99,-1.0,Unusable
23357214,5.72336,11.44671,-9.0763,-12.4404,-100.0,-100.0,-1.0,Unusable
33598182,6.86433,13.72866,-9.9172,-13.2813,-100.0,-100.0,-1.0,Unusable
48329302,8.23276,16.46552,-10.5731,-13.9372,-100.0,-100.0,-1.0,Unusable
69519279,9.87399,19.74799,-11.0634,-14.4275,-100.0,-100.0,-1.0,Unusable
100000000,11.84241,23.68482,-11.4184,-14.7825,-100.0,-100.0,-1.0,Unusable
