shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.3641,833.27,-22.079,0.0,0.0,True
-10.0,1,3.2759,785.72,-26.398,-0.0882,-4.319,True
-10.0,3,2.9764,630.08,-40.383,-0.3877,-18.303,True
-10.0,5,2.6888,501.79,-51.71,-0.6753,-29.63,False
-20.0,1,3.0755,695.04,-34.576,-0.2886,-12.497,True
-20.0,3,2.4415,428.0,-58.129,-0.9226,-36.049,False
-20.0,5,1.8865,250.66,-73.202,-1.4776,-51.123,False
-30.0,1,2.8446,603.4,-42.754,-0.5195,-20.675,True
-30.0,3,1.9128,265.67,-71.95,-1.4513,-49.87,False
-30.0,5,1.1825,90.09,-86.255,-2.1816,-64.176,False
-40.0,1,2.5993,510.67,-50.932,-0.7648,-28.853,False
-40.0,3,1.4419,139.28,-82.336,-1.9222,-60.256,False
-40.0,5,0.623,-6.25,-93.641,-2.7411,-71.561,False
