period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.006855,0.076885,-0.03567,0.19624,-0.117535,61,55
weekly,56,0.571429,0.048635,0.108065,-0.052463,0.412127,-0.159179,32,14
monthly,13,0.846154,0.224909,0.27331,-0.041297,0.896867,-0.054396,11,2
