surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,3.5896,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,3.684,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,3.7407,8,12.5,8,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.95,3.6446,92,51.11,84,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.975,3.7405,70,38.89,70,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.99,3.798,14,7.78,13,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,3.5896,108,100.0,108,True,Robust plateau | baseline inside
lbase_lhigh,L_BASE,L_HIGH,0.975,3.684,108,100.0,108,True,Robust plateau | baseline inside
lbase_lhigh,L_BASE,L_HIGH,0.99,3.7407,108,100.0,108,True,Robust plateau | baseline inside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,3.6147,132,66.67,132,True,Robust plateau | baseline inside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,3.7099,132,66.67,132,True,Robust plateau | baseline inside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,3.767,22,11.11,11,True,Robust plateau | baseline inside
sl_lhigh,PORT_SL,L_HIGH,0.95,3.5896,64,80.0,56,True,Robust plateau | baseline inside
sl_lhigh,PORT_SL,L_HIGH,0.975,3.684,56,70.0,56,True,Robust plateau | baseline inside
sl_lhigh,PORT_SL,L_HIGH,0.99,3.7407,56,70.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,3.5896,64,80.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,3.684,56,70.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,3.7407,56,70.0,56,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.5896,16,20.0,16,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.684,8,10.0,8,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.7407,8,10.0,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.5896,16,16.67,16,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.684,8,8.33,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.7407,8,8.33,8,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,3.6157,7,10.0,7,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,3.7108,5,7.14,5,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,3.7679,4,5.71,3,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,3.6828,25,100.0,25,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,3.7797,4,16.0,4,False,Robust plateau | baseline outside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,3.8378,1,4.0,1,False,Single-cell peak | baseline outside
