Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,level,1,0.052,0.3134,0.0776,0.1321,378,
AvgDailyRet%,level,1,0.036,0.485,0.0725,0.1593,378,
Sharpe,level,1,0.0362,0.4828,0.0668,0.1951,378,
CAGR%,level,1,-0.0468,0.3641,0.065,0.2071,378,
Calmar,level,1,-0.0482,0.3502,0.0579,0.2611,378,
Sortino,delta,1,-0.0095,0.8548,-0.0275,0.5939,377,
Sharpe,delta,1,0.0027,0.9578,-0.027,0.601,377,
AvgDailyRet%,delta,1,-0.0151,0.7707,-0.0265,0.6074,377,
CAGR%,delta,1,-0.0059,0.9094,-0.0082,0.8737,377,
Calmar,delta,1,-0.0072,0.8894,-0.0045,0.9312,377,
Calmar,delta,3,-0.0324,0.5316,0.0716,0.1664,375,
Sortino,level,3,0.09,0.0813,0.0568,0.272,376,
AvgDailyRet%,level,3,0.0679,0.1887,0.0491,0.3429,376,
Sortino,delta,3,0.055,0.2885,0.0473,0.3612,375,
CAGR%,delta,3,-0.033,0.5242,0.0472,0.3625,375,
Sharpe,level,3,0.066,0.2017,0.0362,0.4846,376,
CAGR%,level,3,-0.0667,0.1968,0.0285,0.5823,376,
AvgDailyRet%,delta,3,0.0174,0.7377,0.0253,0.6252,375,
Calmar,level,3,-0.0693,0.1798,0.0208,0.6873,376,
Sharpe,delta,3,0.0058,0.9107,0.0165,0.7496,375,
Calmar,delta,5,-0.015,0.7722,0.1158,0.0253,373,yes
CAGR%,delta,5,-0.0151,0.772,0.1007,0.052,373,
Sortino,delta,5,0.1057,0.0413,0.0924,0.0747,373,
Sharpe,delta,5,0.0746,0.1506,0.0775,0.1353,373,
AvgDailyRet%,delta,5,0.0591,0.2548,0.0706,0.1734,373,
Sortino,level,5,0.0874,0.0914,0.0637,0.2189,374,
AvgDailyRet%,level,5,0.0751,0.1474,0.0585,0.259,374,
Sharpe,level,5,0.0771,0.1368,0.042,0.4175,374,
CAGR%,level,5,-0.0482,0.3525,0.0319,0.5391,374,
Calmar,level,5,-0.0527,0.3092,0.0189,0.7163,374,
