Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0735,0.3047,-0.1052,0.1413,197,
Sharpe,level,1,-0.1004,0.1075,-0.0885,0.1563,258,
CAGR%,level,1,-0.1002,0.0486,-0.0632,0.2141,388,
AvgDailyRet%,level,1,-0.0618,0.2248,-0.0624,0.2199,388,
Calmar,delta,1,0.0183,0.7989,-0.0549,0.4451,196,
Sharpe,delta,1,-0.0049,0.9376,-0.0368,0.5572,257,
AvgDailyRet%,delta,1,0.0233,0.6471,-0.0316,0.535,387,
CAGR%,delta,1,0.0539,0.29,-0.0276,0.5888,387,
Sortino,delta,1,-0.0134,0.7925,-0.0236,0.6439,387,
Sortino,level,1,-0.0307,0.547,-0.0095,0.852,388,
Sharpe,level,3,-0.1731,0.0055,-0.1924,0.002,256,yes
Calmar,level,3,-0.107,0.1344,-0.1364,0.056,197,
Calmar,delta,3,-0.0,1.0,-0.1159,0.1059,196,
CAGR%,level,3,-0.2148,0.0,-0.0992,0.0515,386,
AvgDailyRet%,level,3,-0.1116,0.0284,-0.0922,0.0705,386,
CAGR%,delta,3,-0.0326,0.5234,-0.0398,0.4364,385,
Sharpe,delta,3,-0.043,0.4939,-0.0387,0.5387,255,
AvgDailyRet%,delta,3,-0.0333,0.5141,-0.0351,0.4922,385,
Sortino,level,3,-0.035,0.4931,-0.0345,0.4987,386,
Sortino,delta,3,-0.0629,0.2185,-0.0199,0.6977,385,
Sharpe,level,5,-0.1779,0.0045,-0.1891,0.0025,254,yes
CAGR%,delta,5,-0.0539,0.2932,-0.0655,0.2009,383,
Calmar,delta,5,0.0544,0.4492,-0.0636,0.376,196,
Calmar,level,5,-0.1769,0.0129,-0.0598,0.4036,197,
Sharpe,delta,5,-0.0588,0.3514,-0.0563,0.3728,253,
CAGR%,level,5,-0.2062,0.0,-0.0552,0.2803,384,
AvgDailyRet%,level,5,-0.1076,0.0351,-0.0495,0.3331,384,
AvgDailyRet%,delta,5,-0.019,0.7111,-0.0452,0.3777,383,
Sortino,delta,5,-0.0205,0.6894,-0.0142,0.7822,383,
Sortino,level,5,-0.0198,0.6996,-0.0124,0.8093,384,
