Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,0.0763,0.134,0.0915,0.0722,387,
CAGR%,level,1,-0.0204,0.6887,-0.0767,0.1317,388,
AvgDailyRet%,level,1,-0.0964,0.0577,-0.0696,0.1711,388,
Calmar,level,1,-0.0247,0.6895,-0.0518,0.4031,263,
Sharpe,level,1,-0.0661,0.2147,-0.0501,0.3473,354,
Sharpe,delta,1,0.087,0.1026,0.0436,0.414,353,
AvgDailyRet%,delta,1,0.0518,0.3097,0.0397,0.4361,387,
Calmar,delta,1,-0.1238,0.0452,0.0323,0.6026,262,
CAGR%,delta,1,0.0001,0.998,0.0293,0.5653,387,
Sortino,level,1,-0.0618,0.2246,-0.0046,0.9288,388,
CAGR%,level,3,-0.0363,0.4774,-0.1451,0.0043,386,yes
AvgDailyRet%,level,3,-0.1985,0.0001,-0.1374,0.0068,386,yes
Sharpe,level,3,-0.178,0.0008,-0.1056,0.0478,352,yes
Sortino,level,3,-0.1479,0.0036,-0.0839,0.0997,386,
Calmar,delta,3,-0.0202,0.7452,-0.0832,0.1796,262,
Calmar,level,3,0.081,0.1902,-0.0777,0.2089,263,
Sortino,delta,3,-0.0291,0.5693,0.0204,0.6905,385,
CAGR%,delta,3,-0.0001,0.9986,-0.0179,0.726,385,
Sharpe,delta,3,0.0191,0.7209,0.0108,0.8402,351,
AvgDailyRet%,delta,3,-0.0243,0.6342,-0.004,0.938,385,
CAGR%,level,5,-0.0485,0.3427,-0.1877,0.0002,384,yes
AvgDailyRet%,level,5,-0.2203,0.0,-0.1857,0.0003,384,yes
Sharpe,level,5,-0.2147,0.0001,-0.1548,0.0037,350,yes
Sortino,level,5,-0.1672,0.001,-0.1324,0.0094,384,yes
Calmar,level,5,0.0434,0.4837,-0.0869,0.16,263,
Sortino,delta,5,-0.0174,0.7347,-0.0677,0.186,383,
CAGR%,delta,5,-0.0001,0.9979,-0.0589,0.2499,383,
AvgDailyRet%,delta,5,-0.0279,0.5859,-0.0496,0.3328,383,
Calmar,delta,5,-0.011,0.8591,-0.0203,0.7432,262,
Sharpe,delta,5,-0.0032,0.9521,-0.0152,0.7767,349,
