Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0087,0.8648,-0.0383,0.4524,388,
AvgDailyRet%,level,1,-0.1091,0.0317,-0.0365,0.4732,388,
Sharpe,delta,1,0.004,0.9407,0.0308,0.5635,353,
CAGR%,delta,1,0.0001,0.9982,0.0297,0.56,387,
Calmar,delta,1,-0.0085,0.8915,-0.0278,0.6543,261,
Calmar,level,1,-0.0081,0.8967,0.02,0.7467,262,
Sharpe,level,1,-0.0722,0.1752,-0.0132,0.8043,354,
AvgDailyRet%,delta,1,-0.0073,0.8859,0.0104,0.8385,387,
Sortino,level,1,-0.0672,0.1866,-0.0095,0.8519,388,
Sortino,delta,1,0.0651,0.2011,0.0091,0.8583,387,
CAGR%,level,3,-0.0163,0.7501,-0.1192,0.0191,386,yes
AvgDailyRet%,level,3,-0.1904,0.0002,-0.1135,0.0257,386,yes
Sharpe,level,3,-0.1435,0.007,-0.0861,0.1069,352,
Calmar,delta,3,-0.0453,0.4663,-0.0858,0.1671,261,
Sortino,level,3,-0.1558,0.0021,-0.081,0.112,386,
Sortino,delta,3,-0.0314,0.5395,-0.0467,0.3603,385,
AvgDailyRet%,delta,3,-0.0628,0.2186,-0.0439,0.3908,385,
CAGR%,delta,3,-0.0001,0.9979,-0.0416,0.4159,385,
Sharpe,delta,3,-0.0581,0.2775,-0.0352,0.5108,351,
Calmar,level,3,0.0274,0.6587,0.0103,0.8688,262,
CAGR%,delta,5,-0.0001,0.9981,-0.127,0.0129,383,yes
CAGR%,level,5,-0.0219,0.6684,-0.1246,0.0145,384,yes
Sortino,delta,5,-0.0628,0.2199,-0.123,0.016,383,yes
AvgDailyRet%,level,5,-0.1916,0.0002,-0.1195,0.0191,384,yes
Sharpe,level,5,-0.1227,0.0217,-0.1099,0.0398,350,yes
AvgDailyRet%,delta,5,-0.0785,0.125,-0.1086,0.0336,383,yes
Sortino,level,5,-0.1595,0.0017,-0.0767,0.1337,384,
Sharpe,delta,5,-0.0464,0.3877,-0.0743,0.1659,349,
Calmar,delta,5,0.0378,0.5429,-0.0551,0.3754,261,
Calmar,level,5,0.007,0.9097,0.0376,0.5444,262,
