Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,0.0539,0.2899,0.0766,0.1324,387,
CAGR%,level,1,-0.0111,0.8274,-0.065,0.2013,388,
AvgDailyRet%,level,1,-0.0606,0.234,-0.0645,0.205,388,
Sharpe,level,1,-0.054,0.2948,-0.0589,0.253,378,
Calmar,delta,1,0.0397,0.4821,0.0453,0.4227,316,
Sortino,level,1,-0.0741,0.1449,-0.0421,0.4079,388,
CAGR%,delta,1,0.0357,0.484,0.0248,0.6267,387,
Sharpe,delta,1,0.0971,0.0598,0.0239,0.6437,377,
Calmar,level,1,-0.0106,0.8509,-0.021,0.7097,317,
AvgDailyRet%,delta,1,0.0547,0.2833,0.0195,0.7026,387,
Sharpe,level,3,-0.1418,0.0059,-0.1359,0.0083,376,yes
CAGR%,level,3,-0.0485,0.3418,-0.1294,0.0109,386,yes
AvgDailyRet%,level,3,-0.1244,0.0145,-0.1258,0.0134,386,yes
Sortino,level,3,-0.1236,0.0151,-0.1186,0.0197,386,yes
Calmar,level,3,-0.0528,0.3489,-0.0499,0.3757,317,
Calmar,delta,3,-0.0,0.9997,-0.0204,0.7174,316,
Sortino,delta,3,-0.0582,0.2549,0.0149,0.7706,385,
CAGR%,delta,3,-0.0006,0.9903,-0.0034,0.9462,385,
AvgDailyRet%,delta,3,-0.0172,0.7372,0.0032,0.9494,385,
Sharpe,delta,3,0.0272,0.5999,0.0023,0.9642,375,
Sharpe,level,5,-0.1757,0.0006,-0.1831,0.0004,374,yes
CAGR%,level,5,-0.0481,0.3473,-0.1416,0.0054,384,yes
Sortino,level,5,-0.1423,0.0052,-0.1392,0.0063,384,yes
AvgDailyRet%,level,5,-0.1381,0.0067,-0.1379,0.0068,384,yes
Calmar,delta,5,0.0002,0.9971,0.0569,0.3136,316,
Calmar,level,5,-0.053,0.3472,-0.0323,0.567,317,
Sortino,delta,5,-0.0003,0.9956,0.0104,0.839,383,
Sharpe,delta,5,0.0032,0.9511,-0.0091,0.8616,373,
CAGR%,delta,5,-0.0001,0.9985,-0.0016,0.9745,383,
AvgDailyRet%,delta,5,0.0092,0.8576,-0.0011,0.9828,383,
