Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,0.0667,0.1903,0.0832,0.1024,387,
Calmar,level,1,-0.0218,0.7158,-0.074,0.2154,282,
Sharpe,level,1,-0.0684,0.1964,-0.0667,0.2078,358,
CAGR%,level,1,-0.0642,0.2069,-0.0661,0.1936,388,
AvgDailyRet%,level,1,-0.0768,0.131,-0.0626,0.2184,388,
AvgDailyRet%,delta,1,0.0413,0.4184,0.0367,0.4721,387,
Sharpe,delta,1,0.0676,0.2028,0.0318,0.5494,357,
CAGR%,delta,1,0.062,0.2239,0.0239,0.6391,387,
Calmar,delta,1,-0.0049,0.9349,-0.0196,0.7433,281,
Sortino,level,1,-0.0533,0.2946,-0.0047,0.9259,388,
Calmar,level,3,-0.0412,0.4909,-0.1376,0.0208,282,yes
Sharpe,level,3,-0.1809,0.0006,-0.1325,0.0123,356,yes
CAGR%,level,3,-0.1672,0.001,-0.1238,0.0149,386,yes
AvgDailyRet%,level,3,-0.1631,0.0013,-0.1184,0.02,386,yes
Sortino,level,3,-0.1342,0.0083,-0.0839,0.1,386,
Sortino,delta,3,-0.0039,0.9386,0.0669,0.1905,385,
Sharpe,delta,3,0.0268,0.615,0.0406,0.4456,355,
AvgDailyRet%,delta,3,0.0059,0.9076,0.0359,0.4829,385,
CAGR%,delta,3,-0.039,0.4457,0.0268,0.6002,385,
Calmar,delta,3,-0.0008,0.989,-0.0185,0.7573,281,
Sharpe,level,5,-0.225,0.0,-0.2241,0.0,354,yes
Calmar,level,5,-0.0579,0.3326,-0.2051,0.0005,282,yes
CAGR%,level,5,-0.1173,0.0215,-0.1801,0.0004,384,yes
AvgDailyRet%,level,5,-0.1889,0.0002,-0.1785,0.0004,384,yes
Sortino,level,5,-0.1497,0.0033,-0.144,0.0047,384,yes
CAGR%,delta,5,-0.0575,0.2619,-0.0561,0.2735,383,
AvgDailyRet%,delta,5,-0.0178,0.7285,-0.0408,0.4261,383,
Sortino,delta,5,-0.0298,0.5612,-0.0393,0.4429,383,
Calmar,delta,5,-0.0009,0.9886,-0.0346,0.5634,281,
Sharpe,delta,5,-0.0216,0.6856,-0.0283,0.5967,353,
