Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,delta,1,0.0676,0.1906,0.0354,0.4935,377,
CAGR%,delta,1,-0.0422,0.4134,0.0351,0.4967,377,
CAGR%,level,1,-0.0604,0.2418,-0.0271,0.5997,378,
AvgDailyRet%,level,1,-0.0339,0.5117,-0.0262,0.6111,378,
Calmar,delta,1,-0.0693,0.1884,0.0241,0.6473,362,
Sortino,delta,1,0.0197,0.7031,-0.0235,0.6491,377,
AvgDailyRet%,delta,1,0.0371,0.473,0.0193,0.7083,377,
Calmar,level,1,-0.0588,0.2634,-0.0144,0.7844,363,
Sharpe,level,1,-0.0293,0.5699,-0.0094,0.8555,378,
Sortino,level,1,-0.0034,0.9482,-0.0081,0.8755,378,
Calmar,delta,3,-0.0349,0.5094,0.0533,0.3134,360,
CAGR%,delta,3,-0.0324,0.5321,0.0433,0.4031,375,
Sharpe,delta,3,0.0711,0.1695,0.0347,0.5033,375,
AvgDailyRet%,level,3,-0.0829,0.1085,-0.0255,0.6222,376,
AvgDailyRet%,delta,3,0.0387,0.4554,0.0248,0.6321,375,
CAGR%,level,3,-0.0676,0.1908,-0.0245,0.6358,376,
Sortino,delta,3,-0.0115,0.8241,0.02,0.6995,375,
Sharpe,level,3,-0.0922,0.0742,-0.011,0.8323,376,
Calmar,level,3,-0.0354,0.5024,-0.0102,0.8465,361,
Sortino,level,3,-0.0013,0.9803,-0.0006,0.991,376,
AvgDailyRet%,level,5,-0.1119,0.0304,-0.06,0.2473,374,
CAGR%,level,5,-0.0668,0.1976,-0.0585,0.2591,374,
Calmar,delta,5,0.0159,0.7641,0.0566,0.2853,358,
Sharpe,delta,5,0.0789,0.1283,0.049,0.3457,373,
Sharpe,level,5,-0.136,0.0084,-0.0463,0.3721,374,
CAGR%,delta,5,-0.0006,0.9902,0.0373,0.4729,373,
Sortino,level,5,0.0007,0.9895,-0.0367,0.479,374,
Sortino,delta,5,0.0578,0.2654,0.0358,0.4909,373,
AvgDailyRet%,delta,5,0.0598,0.2496,0.0352,0.4985,373,
Calmar,level,5,-0.0488,0.3565,-0.0323,0.5419,359,
