Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,-0.0404,0.434,-0.0517,0.3167,377,
CAGR%,level,1,-0.01,0.8468,0.0449,0.3845,378,
AvgDailyRet%,level,1,0.0124,0.8098,0.0323,0.5307,378,
Sharpe,level,1,-0.0205,0.7331,0.0227,0.7058,280,
Calmar,delta,1,-0.0341,0.5821,0.0208,0.737,263,
AvgDailyRet%,delta,1,-0.0396,0.4439,-0.02,0.6988,377,
Calmar,level,1,-0.057,0.3563,0.0194,0.7538,264,
Sharpe,delta,1,-0.0572,0.3415,-0.0164,0.785,279,
Sortino,level,1,-0.097,0.0596,0.0079,0.8786,378,
CAGR%,delta,1,0.0029,0.9554,-0.0054,0.9168,377,
Sharpe,delta,3,-0.1034,0.0857,-0.0971,0.1069,277,
AvgDailyRet%,delta,3,-0.0435,0.4014,-0.0842,0.1037,375,
CAGR%,delta,3,0.0067,0.8972,-0.0549,0.2887,375,
Sortino,delta,3,-0.0372,0.473,-0.0481,0.3526,375,
Calmar,delta,3,-0.0302,0.6278,0.0385,0.5357,261,
Sharpe,level,3,0.0037,0.9516,-0.0196,0.7453,278,
Sortino,level,3,-0.1399,0.0066,-0.0187,0.718,376,
Calmar,level,3,-0.0596,0.3365,-0.0149,0.8102,262,
AvgDailyRet%,level,3,0.0383,0.4595,-0.0143,0.782,376,
CAGR%,level,3,-0.0226,0.6627,0.0047,0.9282,376,
Calmar,delta,5,0.0198,0.7516,0.0505,0.4187,259,
Sharpe,delta,5,-0.0478,0.43,-0.0354,0.5587,275,
AvgDailyRet%,level,5,0.0694,0.1805,0.0276,0.5951,374,
CAGR%,level,5,-0.0381,0.4628,0.0264,0.6103,374,
Sortino,level,5,-0.1693,0.001,0.0241,0.6422,374,
Sortino,delta,5,-0.0443,0.394,0.0219,0.6728,373,
AvgDailyRet%,delta,5,-0.0037,0.9439,-0.0159,0.7603,373,
CAGR%,delta,5,0.051,0.326,-0.0051,0.9211,373,
Sharpe,level,5,0.0425,0.4821,0.0037,0.9517,276,
Calmar,level,5,-0.0742,0.2334,0.0018,0.9767,260,
