window_days,min_cum_ret,start_idx,end_idx
1,-0.245755,200,200
3,-0.300768,198,200
7,-0.300768,194,200
14,-0.375983,34,47
21,-0.371493,180,200
30,-0.456881,173,202
40,-0.237748,161,200
50,-0.272306,158,207
60,0.020139,145,204
70,0.331900,173,242
80,0.497184,177,256
90,0.579725,145,234
100,0.694941,104,203
