period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.546296,0.014097,0.152952,-0.069664,0.41032,-0.245755,59,49
weekly,56,0.652174,0.101375,0.238115,-0.091651,0.820569,-0.287248,30,16
monthly,13,0.692308,0.519735,0.794342,-0.098131,2.321495,-0.129517,9,4
