aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.52621,1.05241,2.8667,-0.6675,2241.69,-42.27,53.03,Excellent
143844,0.6311,1.26221,2.7297,-0.8045,1811.03,-42.83,42.29,Excellent
206913,0.75692,1.51384,2.5638,-0.9704,1396.79,-43.49,32.12,Excellent
297635,0.90781,1.81563,2.3626,-1.1715,1015.71,-44.28,22.94,Institutional
428133,1.08879,2.17758,2.1185,-1.4157,683.42,-45.21,15.12,Institutional
615848,1.30585,2.61169,1.8217,-1.7124,411.79,-46.31,8.89,Survival
885866,1.56617,3.13234,1.4611,-2.0731,206.37,-48.68,4.24,Marginal
1274274,1.87839,3.75679,1.0229,-2.5113,64.98,-54.02,1.2,Marginal
1832980,2.25286,4.50572,0.4917,-3.0424,-21.89,-70.72,-0.31,Unusable
2636650,2.70198,5.40395,-0.1491,-3.6833,-68.38,-87.12,-0.78,Unusable
3792690,3.24063,6.48125,-0.9155,-4.4497,-89.43,-95.3,-0.94,Unusable
5455594,3.88666,7.77332,-1.8182,-5.3524,-97.21,-98.67,-0.99,Unusable
7847599,4.66148,9.32296,-2.8571,-6.3913,-99.45,-99.71,-1.0,Unusable
11288378,5.59076,11.18152,-4.0124,-7.5466,-99.92,-99.97,-1.0,Unusable
16237767,6.7053,13.41061,-5.2386,-8.7728,-99.99,-100.0,-1.0,Unusable
23357214,8.04203,16.08406,-6.4658,-10.0,-100.0,-100.0,-1.0,Unusable
33598182,9.64524,19.29048,-7.6141,-11.1483,-100.0,-100.0,-1.0,Unusable
48329302,11.56806,23.13612,-8.6163,-12.1505,-100.0,-100.0,-1.0,Unusable
69519279,13.8742,27.7484,-9.4357,-12.9699,-100.0,-100.0,-1.0,Unusable
100000000,16.64007,33.28015,-10.0696,-13.6038,-100.0,-100.0,-1.0,Unusable
