slippage_one_way_pct,round_trip_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
0.05,0.1,3.4723,-0.0619,5760.19,-39.7,145.1,Excellent
0.1,0.2,3.41,-0.1242,5224.25,-39.97,130.7,Excellent
0.25,0.5,3.2213,-0.3128,3890.73,-40.79,95.39,Excellent
0.5,1.0,2.9007,-0.6334,2363.48,-42.13,56.1,Excellent
1.0,2.0,2.2386,-1.2955,831.97,-44.75,18.59,Strong
