drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,2.837,1269.1,-32.57,101,297,0.743,2.914,88.9,1
0.023,1.4,2.877,1389.8,-32.57,104,294,0.807,2.971,77.8,2
0.024,1.4,2.877,1389.8,-32.57,104,294,0.807,2.971,77.8,2
0.025,1.4,2.846,1339.6,-32.57,105,293,0.82,2.925,77.8,2
0.026,1.4,2.846,1339.6,-32.57,105,293,0.82,2.925,77.8,2
0.027,1.4,2.842,1344.1,-32.57,109,289,0.822,2.905,77.8,2
0.028,1.4,2.842,1344.1,-32.57,109,289,0.822,2.905,77.8,2
0.029,1.4,2.934,1525.3,-32.57,110,288,0.824,3.042,77.8,2
0.03,1.4,3.054,1822.8,-32.57,111,287,0.824,3.042,77.8,2
0.031,1.4,2.986,1684.9,-32.57,112,286,0.824,3.042,77.8,2
0.032,1.4,2.986,1684.9,-32.57,112,286,0.824,3.042,77.8,2
0.033,1.4,2.981,1683.0,-34.8,114,284,0.824,3.042,77.8,2
0.034,1.4,2.981,1683.0,-34.8,114,284,0.824,3.042,77.8,2
0.035,1.4,2.981,1683.0,-34.8,114,284,0.824,3.042,77.8,2
0.04,1.4,2.956,1687.7,-34.8,116,282,0.775,3.021,77.8,2
