mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.676,0.0,5.6759,23303.47,-7.71,1.471,1.471,100
return_noise,0.003,5.676,0.0001,5.6757,23304.16,-7.71,1.471,1.4709,100
return_noise,0.005,5.676,0.0002,5.6754,23303.52,-7.71,1.471,1.4708,100
return_noise,0.01,5.676,0.0005,5.6748,23283.11,-7.71,1.471,1.4707,100
signal_shuffle,0.02,3.8107,0.0997,3.4288,6594.73,-33.16,0.9876,0.8886,100
signal_shuffle,0.05,3.7558,0.1286,3.3984,6281.84,-33.25,0.9734,0.8807,100
signal_shuffle,0.1,3.6644,0.2187,3.2225,5876.75,-34.55,0.9497,0.8351,100
signal_shuffle,0.2,3.5277,0.2756,2.8097,5357.31,-36.66,0.9142,0.7282,100
ranking_noise,0.02,3.788,0.1179,3.3761,6732.63,-34.18,0.9817,0.8749,100
ranking_noise,0.05,3.6964,0.2446,2.8363,6474.84,-36.4,0.958,0.7351,100
ranking_noise,0.1,3.4858,0.2686,2.8598,5472.36,-39.23,0.9034,0.7412,100
