threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,3.7029,25,100.0,25,True,Robust plateau | baseline inside
0.975,3.8004,13,52.0,9,True,Robust plateau | baseline inside
0.99,3.8588,10,40.0,9,True,Robust plateau | baseline inside
