L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,3.642,181.3,-8.72,296,3.642,,,0.62,3.8,88.9,1,5.277,6.756
0.9,3.673,258.8,-10.94,296,3.673,,,0.62,3.8,88.9,1,5.277,6.756
1.0,3.693,367.3,-13.38,296,3.693,,,0.62,3.8,88.9,1,5.277,6.756
1.1,3.705,520.4,-16.02,296,3.705,,,0.62,3.8,88.9,1,5.277,6.756
1.2,3.733,708.5,-18.29,296,3.733,,,0.608,3.829,88.9,1,5.255,6.759
1.3,3.774,921.7,-20.07,296,3.774,,,0.587,3.885,88.9,1,5.252,6.758
1.4,3.794,1155.1,-21.83,296,3.794,,,0.57,3.92,88.9,1,5.33,6.712
1.5,3.812,1438.8,-23.07,296,3.812,,,0.567,3.934,88.9,1,5.38,6.655
1.6,3.822,1778.4,-24.34,296,3.822,,,0.561,3.943,88.9,1,5.367,6.599
1.7,3.837,2179.8,-25.59,296,3.837,,,0.552,3.963,88.9,1,5.38,6.55
1.8,3.849,2670.2,-26.83,296,3.849,,,0.543,3.979,88.9,1,5.374,6.5
1.9,3.855,3248.6,-28.05,296,3.855,,,0.542,3.979,88.9,1,5.372,6.449
2.0,3.861,3946.8,-29.25,296,3.861,,,0.543,3.975,88.9,1,5.372,6.419
2.1,3.865,4792.1,-30.44,296,3.865,,,0.545,3.971,88.9,1,5.367,6.389
2.2,3.863,5790.2,-31.62,296,3.863,,,0.545,3.962,88.9,1,5.351,6.335
2.3,3.863,7005.5,-32.78,296,3.863,,,0.545,3.958,88.9,1,5.334,6.273
2.4,3.863,8178.1,-34.01,296,3.863,,,0.545,3.958,88.9,1,5.334,6.273
2.5,3.863,9520.4,-35.22,296,3.863,,,0.545,3.958,88.9,1,5.334,6.273
2.6,3.863,11053.0,-36.41,296,3.863,,,0.545,3.958,88.9,1,5.334,6.273
2.7,3.863,12798.5,-37.58,296,3.863,,,0.545,3.958,88.9,1,5.334,6.273
2.8,3.863,14781.2,-38.75,296,3.863,,,0.545,3.958,88.9,1,5.334,6.273
2.9,3.863,17027.9,-39.89,296,3.863,,,0.545,3.958,88.9,1,5.334,6.273
3.0,3.863,19567.2,-41.02,296,3.863,,,0.545,3.958,88.9,1,5.334,6.273
