trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
0,2.426020,-0.058900,0.083068,37,0.002026,0.124245,931,3.181500,8953.990000,-52.960000,169.071000,0.639900
1,2.431590,-0.053306,0.073884,34,0.004024,0.100358,969,2.645100,3166.580000,-55.496000,57.060000,0.554400
2,2.273971,-0.055090,0.076228,31,0.003786,0.099480,929,2.723300,2913.570000,-54.540000,53.421000,0.569100
3,2.233082,-0.068473,0.083845,38,0.002267,0.087604,489,3.647200,6399.730000,-33.005000,193.903000,0.618000
4,2.140973,-0.063295,0.080507,40,0.002582,0.080673,751,2.854800,1734.290000,-39.964000,43.396000,0.716900
5,2.157157,-0.053339,0.074453,32,0.003408,0.085475,975,2.978100,2657.120000,-39.169000,67.838000,0.451400
6,2.392122,-0.056623,0.082476,38,0.002730,0.074760,882,3.448000,3468.980000,-36.148000,95.966000,0.673000
7,2.134286,-0.054598,0.063916,38,0.003396,0.104772,943,3.333700,5322.830000,-34.568000,153.983000,0.462300
8,2.281101,-0.061237,0.066895,31,0.003404,0.087919,810,2.907400,3035.260000,-42.234000,71.868000,0.491700
9,2.421899,-0.062425,0.076206,36,0.002529,0.056219,731,4.006900,3923.660000,-26.168000,149.942000,0.550300
10,2.168709,-0.058354,0.082952,32,0.001940,0.074260,643,2.757100,1678.240000,-43.418000,38.653000,0.528200
11,2.374482,-0.061027,0.081388,37,0.002775,0.112609,565,3.186700,6469.380000,-49.894000,129.664000,0.673800
12,2.080448,-0.052621,0.080003,35,0.002187,0.090075,556,3.653000,4664.690000,-29.588000,157.652000,0.569500
13,2.390307,-0.059031,0.072323,33,0.003313,0.080051,516,2.832800,2871.560000,-43.102000,66.622000,0.490800
14,2.124283,-0.068314,0.084193,37,0.002438,0.123781,942,3.081000,5160.100000,-51.651000,99.903000,0.685500
15,2.399769,-0.059089,0.069875,31,0.003966,0.086816,587,2.795800,2795.100000,-38.963000,71.738000,0.571200
16,2.210740,-0.061426,0.067727,39,0.003620,0.105801,728,3.434900,6728.890000,-33.540000,200.622000,0.462500
17,2.358562,-0.061514,0.078372,31,0.002798,0.056996,766,2.906900,1589.090000,-41.050000,38.711000,0.590400
18,2.221736,-0.053601,0.066077,36,0.002209,0.120609,820,3.018100,4561.890000,-43.067000,105.926000,0.588000
19,2.229560,-0.061636,0.064718,40,0.002958,0.110357,513,2.745500,2989.270000,-49.764000,60.068000,0.771900
20,2.293863,-0.059833,0.084851,36,0.002936,0.073222,666,3.469100,3607.840000,-37.155000,97.102000,0.703200
21,2.309509,-0.058900,0.064236,38,0.003951,0.064098,803,3.314400,2376.910000,-31.391000,75.719000,0.725000
22,2.119945,-0.063100,0.070078,37,0.003545,0.109343,528,3.278400,5127.150000,-37.408000,137.059000,0.604500
23,2.491365,-0.055144,0.064592,36,0.002690,0.113745,960,3.364400,12194.210000,-39.922000,305.453000,0.401400
24,2.215884,-0.068152,0.071560,35,0.002414,0.121395,563,3.151000,5545.430000,-47.942000,115.669000,0.691600
25,2.090659,-0.058832,0.086078,39,0.003597,0.118137,1012,2.994600,4029.300000,-48.892000,82.413000,0.750300
26,2.308675,-0.056687,0.081120,37,0.002697,0.060802,922,3.183200,1840.460000,-35.940000,51.210000,0.700300
27,2.190732,-0.067863,0.071256,31,0.003795,0.065036,572,2.401600,1003.910000,-38.732000,25.920000,0.754800
28,2.345716,-0.066742,0.070079,33,0.003666,0.123972,770,2.612100,3228.070000,-59.645000,54.121000,1.045300
29,2.136193,-0.051251,0.068917,31,0.003426,0.062772,774,2.535700,1045.180000,-41.202000,25.367000,0.570700
30,2.389361,-0.061460,0.068245,38,0.003517,0.107207,543,3.472600,10057.070000,-34.777000,289.184000,0.536800
31,2.126927,-0.067696,0.072696,33,0.002973,0.101726,1051,2.826300,3030.640000,-52.868000,57.325000,0.578900
32,2.201765,-0.067647,0.071029,36,0.003322,0.061625,548,3.327600,2465.470000,-35.188000,70.065000,0.689500
33,2.262793,-0.068392,0.077161,39,0.003730,0.087651,945,3.679200,5383.380000,-33.331000,161.510000,0.584400
34,2.078205,-0.052965,0.082412,38,0.002358,0.092215,835,3.640900,4329.720000,-30.456000,142.165000,0.578400
35,2.469160,-0.061856,0.073033,34,0.002822,0.100939,996,2.768400,4274.970000,-58.215000,73.434000,0.559900
36,2.278793,-0.055461,0.069075,37,0.003760,0.061580,503,3.262100,2650.320000,-35.474000,74.712000,0.700900
37,2.343439,-0.053631,0.082305,33,0.002145,0.120310,564,2.488500,2261.180000,-62.801000,36.005000,1.348100
38,2.200971,-0.053765,0.066349,30,0.001933,0.066574,495,2.753000,2110.960000,-43.675000,48.334000,0.530000
39,2.341926,-0.063253,0.072607,33,0.003011,0.117000,986,2.718000,3714.920000,-56.323000,65.958000,0.591600
40,2.089999,-0.054267,0.069077,32,0.003171,0.083971,492,2.898500,2389.280000,-41.477000,57.605000,0.447400
41,2.241863,-0.060428,0.066038,38,0.001925,0.120589,523,2.995700,4336.710000,-46.287000,93.692000,0.712700
42,2.458044,-0.067248,0.085790,38,0.003671,0.100259,942,3.387000,8832.060000,-42.324000,208.678000,0.477300
43,2.131894,-0.060649,0.075320,39,0.002911,0.081726,856,3.716200,3716.210000,-31.000000,119.877000,0.556000
44,2.192573,-0.053516,0.074502,34,0.002358,0.080461,688,2.917300,2249.320000,-43.330000,51.911000,0.462300
45,2.220648,-0.057830,0.079179,33,0.004077,0.119977,758,2.304000,1541.180000,-57.033000,27.023000,1.185900
46,2.221046,-0.060638,0.082843,37,0.003731,0.092356,852,3.698100,5346.190000,-34.035000,157.079000,0.595000
47,2.202552,-0.064228,0.068304,37,0.003866,0.063511,840,3.243700,1852.330000,-33.068000,56.017000,0.714400
48,2.113744,-0.064063,0.067266,39,0.002130,0.123039,955,3.325200,7372.790000,-38.287000,192.566000,0.512700
49,2.343094,-0.065087,0.081640,39,0.002408,0.096485,521,3.709100,8169.230000,-34.395000,237.511000,0.489000
50,2.353436,-0.054083,0.076461,36,0.002918,0.091629,933,3.692800,6862.640000,-34.238000,200.439000,0.549700
51,2.437653,-0.059859,0.077241,39,0.002087,0.062431,516,3.417600,3459.690000,-36.743000,94.160000,0.681700
52,2.372617,-0.058535,0.081172,37,0.002601,0.118682,932,3.157900,7652.250000,-52.107000,146.858000,0.689500
53,2.194446,-0.057555,0.070825,32,0.002155,0.121401,732,2.546100,2361.280000,-56.149000,42.054000,0.984100
54,2.246327,-0.064134,0.076192,39,0.003673,0.088515,694,3.718800,5650.530000,-33.123000,170.591000,0.577800
55,2.523851,-0.063920,0.085152,31,0.003841,0.099869,537,2.432100,2297.300000,-64.726000,35.492000,1.220000
56,2.340599,-0.063350,0.066517,35,0.003781,0.075266,744,3.126900,2746.610000,-37.810000,72.642000,0.698000
57,2.273464,-0.056435,0.084415,38,0.002065,0.125786,1004,3.128800,7439.820000,-54.642000,136.155000,0.661400
58,2.200598,-0.066064,0.069367,40,0.003398,0.100809,518,3.014400,4128.060000,-32.520000,126.937000,0.585700
59,2.482635,-0.051522,0.069169,31,0.003664,0.068271,1023,2.694700,1942.550000,-42.083000,46.160000,0.587500
60,2.371884,-0.051651,0.063872,31,0.003254,0.111707,609,2.568300,2853.120000,-55.317000,51.578000,0.703100
61,2.460728,-0.052030,0.081772,39,0.003653,0.104265,978,3.247700,6797.850000,-39.655000,171.425000,0.436500
62,2.088470,-0.054632,0.066561,35,0.003588,0.099361,986,3.329800,4459.030000,-33.934000,131.404000,0.493300
63,2.141398,-0.064223,0.068093,33,0.003504,0.124575,839,2.526700,2227.160000,-56.608000,39.344000,1.005800
64,2.095070,-0.062094,0.065198,39,0.003503,0.066465,519,3.441800,2742.200000,-30.383000,90.254000,0.659400
65,2.154425,-0.068640,0.074068,38,0.003327,0.095214,551,3.865200,6970.530000,-31.952000,218.156000,0.485500
66,2.505171,-0.056424,0.076755,37,0.003358,0.121723,553,3.052600,6505.650000,-61.404000,105.948000,0.751500
67,2.303842,-0.058273,0.074419,31,0.002122,0.074021,650,2.759500,1918.940000,-45.628000,42.056000,0.530500
68,2.266835,-0.061998,0.078029,34,0.002781,0.069669,824,2.604000,1460.280000,-46.089000,31.684000,0.516200
69,2.215839,-0.051649,0.073164,35,0.002341,0.095217,811,3.693900,6289.260000,-34.049000,184.713000,0.451400
70,2.392921,-0.062663,0.078430,33,0.003690,0.093538,728,2.956700,3833.000000,-43.786000,87.540000,0.511100
71,2.357966,-0.057492,0.075287,37,0.003927,0.120316,772,3.151600,6262.730000,-44.986000,139.216000,0.591700
72,2.309327,-0.065398,0.070825,38,0.002986,0.062342,506,3.399700,3189.860000,-35.285000,90.404000,0.687100
73,2.457317,-0.052000,0.070064,33,0.002215,0.076600,919,2.826500,2549.890000,-44.978000,56.692000,0.414400
74,2.076754,-0.065889,0.083022,34,0.002169,0.097261,536,2.537100,1532.300000,-54.881000,27.920000,1.118600
75,2.237863,-0.068252,0.086148,38,0.002546,0.103512,897,3.523200,8500.920000,-33.918000,250.632000,0.482900
76,2.248407,-0.062536,0.065663,32,0.003060,0.065790,564,2.507900,1415.720000,-46.227000,30.625000,0.588400
77,2.454700,-0.068804,0.076259,38,0.004177,0.064195,738,3.041300,1949.750000,-39.046000,49.935000,0.647000
78,2.250583,-0.052441,0.080745,34,0.002926,0.064848,573,2.295400,885.440000,-44.751000,19.786000,0.775300
79,2.487268,-0.051804,0.068989,33,0.002976,0.096224,766,2.933800,4087.600000,-45.342000,90.151000,0.496500
80,2.108693,-0.055386,0.082731,36,0.003358,0.102255,932,3.324700,5185.050000,-34.146000,151.851000,0.482200
81,2.096730,-0.057599,0.075889,33,0.003827,0.088745,935,3.071100,2941.600000,-38.725000,75.962000,0.378400
82,2.461927,-0.060086,0.084215,36,0.003841,0.078523,769,3.520400,4385.760000,-36.362000,120.613000,0.576200
83,2.314449,-0.052890,0.072717,39,0.003314,0.066780,671,3.369000,2694.700000,-35.942000,74.973000,0.695900
84,2.158137,-0.051447,0.084618,34,0.002538,0.097090,467,2.429700,1553.120000,-61.618000,25.206000,1.332600
85,2.197890,-0.063655,0.078010,40,0.003289,0.088380,931,3.174900,3197.380000,-36.626000,87.299000,0.666800
86,2.485531,-0.063973,0.085422,38,0.003880,0.062215,913,3.035800,1781.660000,-39.383000,45.239000,0.688000
87,2.272441,-0.060956,0.078467,40,0.004163,0.074752,914,2.857700,1570.140000,-36.616000,42.881000,0.874400
88,2.414992,-0.057237,0.066537,30,0.003666,0.089258,1069,2.800600,3136.040000,-54.671000,57.362000,0.451600
89,2.283888,-0.068603,0.073010,38,0.002004,0.093993,956,3.953500,8570.570000,-32.488000,263.806000,0.481900
90,2.495363,-0.065806,0.069097,34,0.001917,0.061868,878,2.668900,1570.750000,-36.379000,43.177000,0.541900
91,2.398099,-0.064927,0.083223,37,0.003722,0.057525,606,3.450700,2292.100000,-37.650000,60.879000,0.491300
92,2.356073,-0.066446,0.069769,35,0.003425,0.056132,709,4.096900,3774.290000,-24.453000,154.350000,0.535300
93,2.481992,-0.063089,0.069097,39,0.002635,0.115441,646,3.383500,10977.350000,-38.574000,284.576000,0.547100
94,2.341547,-0.058145,0.069934,39,0.002250,0.060106,673,3.321700,2291.200000,-34.951000,65.555000,0.591200
95,2.400114,-0.065534,0.086222,33,0.002779,0.063851,816,2.270200,931.520000,-55.335000,16.834000,0.752600
96,2.528887,-0.063616,0.077142,34,0.003997,0.089778,545,2.754900,3074.940000,-48.090000,63.942000,0.654100
97,2.238074,-0.052209,0.068295,30,0.002888,0.099687,673,2.712400,3150.290000,-51.631000,61.015000,0.576600
98,2.263376,-0.068266,0.080669,35,0.002483,0.118584,607,2.914600,3915.010000,-63.534000,61.621000,0.903900
99,2.219658,-0.067363,0.075665,37,0.003218,0.101048,646,3.556200,7709.030000,-32.519000,237.064000,0.464900
100,2.181031,-0.056805,0.067247,39,0.002480,0.094427,950,3.859000,7601.260000,-31.117000,244.282000,0.519000
101,2.430559,-0.058891,0.074466,40,0.003419,0.112654,1018,3.000000,5948.690000,-47.882000,124.237000,0.611100
102,2.432291,-0.054333,0.076399,31,0.003367,0.122785,778,2.492500,2499.210000,-58.849000,42.468000,1.153700
103,2.269167,-0.051645,0.085345,31,0.001899,0.071717,502,2.753900,2211.230000,-40.492000,54.609000,0.640200
104,2.279354,-0.060290,0.070783,31,0.002068,0.081684,499,3.015500,3461.210000,-45.785000,75.598000,0.414300
105,2.391167,-0.054726,0.070547,34,0.002800,0.054120,531,3.061000,2107.590000,-45.160000,46.670000,0.578200
106,2.466872,-0.051022,0.075184,35,0.002599,0.085056,943,3.643300,6324.560000,-35.552000,177.895000,0.548500
107,2.456954,-0.055686,0.071006,32,0.002952,0.103195,603,2.473300,2259.520000,-62.749000,36.009000,1.010600
108,2.222138,-0.067747,0.071134,35,0.003508,0.064833,491,3.403600,3343.810000,-35.464000,94.287000,0.720800
109,2.133574,-0.067539,0.070916,32,0.001875,0.061965,844,2.684300,1177.400000,-31.666000,37.182000,0.540700
110,2.181154,-0.061246,0.077029,38,0.001811,0.115443,843,3.538500,8623.680000,-31.756000,271.562000,0.397500
111,2.144862,-0.064913,0.082999,33,0.004005,0.086721,834,2.805300,2072.400000,-41.404000,50.053000,0.409000
112,2.522939,-0.057508,0.082046,33,0.003718,0.097253,595,2.392800,1691.690000,-64.390000,26.273000,1.229600
