n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.5342,6349.46,-39.421,0.0,0.0
1,41.0%,3.3979,4651.16,-39.992,-0.1363,-1698.3
3,"41.0%, 37.9%, 37.5%",3.1117,2582.72,-39.992,-0.4225,-3766.75
5,"41.0%, 37.9%, 37.5%, 31.9%, 30.4%",2.8219,1548.6,-39.992,-0.7123,-4800.87
10,"41.0%, 37.9%, 37.5%, 31.9%, 30.4% … +5 more",2.041,439.93,-50.353,-1.4932,-5909.53
