EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,3.8978,10326.71,-34.332,-15.272,300.787,0.5864,False
0.001,0.0015,3.8485,7673.32,-32.574,-15.272,235.566,0.545,False
0.001,0.002,3.751,7074.55,-32.574,-15.272,217.184,0.5744,False
0.001,0.0025,3.7712,6383.86,-32.784,-15.272,194.727,0.592,False
0.001,0.003,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.0015,0.001,3.8485,7673.32,-32.574,-15.272,235.566,0.545,False
0.0015,0.0015,3.8485,7673.32,-32.574,-15.272,235.566,0.545,False
0.0015,0.002,3.751,7074.55,-32.574,-15.272,217.184,0.5744,False
0.0015,0.0025,3.7712,6383.86,-32.784,-15.272,194.727,0.592,False
0.0015,0.003,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.002,0.001,3.751,7074.55,-32.574,-15.272,217.184,0.5744,False
0.002,0.0015,3.751,7074.55,-32.574,-15.272,217.184,0.5744,False
0.002,0.002,3.751,7074.55,-32.574,-15.272,217.184,0.5744,False
0.002,0.0025,3.7712,6383.86,-32.784,-15.272,194.727,0.592,False
0.002,0.003,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.0025,0.001,3.7712,6383.86,-32.784,-15.272,194.727,0.592,False
0.0025,0.0015,3.7712,6383.86,-32.784,-15.272,194.727,0.592,False
0.0025,0.002,3.7712,6383.86,-32.784,-15.272,194.727,0.592,False
0.0025,0.0025,3.7712,6383.86,-32.784,-15.272,194.727,0.592,False
0.0025,0.003,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.003,0.001,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.003,0.0015,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.003,0.002,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.003,0.0025,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.003,0.003,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,True
