EARLY_KILL_Y,PORT_SL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,-0.04,2.91,3169.85,-58.615,-21.171,54.079,0.7368,False
0.0,-0.05,3.7155,6125.35,-34.176,-23.577,179.227,0.5273,False
0.0,-0.055,3.6378,5863.44,-32.783,-22.103,178.856,0.5526,False
0.0,-0.06,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.0,-0.065,3.8499,6947.26,-32.721,-16.129,212.318,0.5547,False
0.0,-0.07,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0,-0.075,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0,-0.08,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0,-0.085,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0,-0.1,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0005,-0.04,2.91,3169.85,-58.615,-21.171,54.079,0.7368,False
0.0005,-0.05,3.7155,6125.35,-34.176,-23.577,179.227,0.5273,False
0.0005,-0.055,3.6378,5863.44,-32.783,-22.103,178.856,0.5526,False
0.0005,-0.06,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.0005,-0.065,3.8499,6947.26,-32.721,-16.129,212.318,0.5547,False
0.0005,-0.07,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0005,-0.075,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0005,-0.08,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0005,-0.085,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0005,-0.1,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0008,-0.04,2.91,3169.85,-58.615,-21.171,54.079,0.7368,False
0.0008,-0.05,3.7155,6125.35,-34.176,-23.577,179.227,0.5273,False
0.0008,-0.055,3.6378,5863.44,-32.783,-22.103,178.856,0.5526,False
0.0008,-0.06,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.0008,-0.065,3.8499,6947.26,-32.721,-16.129,212.318,0.5547,False
0.0008,-0.07,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0008,-0.075,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0008,-0.08,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0008,-0.085,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0008,-0.1,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.001,-0.04,2.91,3169.85,-58.615,-21.171,54.079,0.7368,False
0.001,-0.05,3.7155,6125.35,-34.176,-23.577,179.227,0.5273,False
0.001,-0.055,3.6378,5863.44,-32.783,-22.103,178.856,0.5526,False
0.001,-0.06,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.001,-0.065,3.8499,6947.26,-32.721,-16.129,212.318,0.5547,False
0.001,-0.07,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.001,-0.075,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.001,-0.08,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.001,-0.085,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.001,-0.1,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0015,-0.04,2.91,3169.85,-58.615,-21.171,54.079,0.7368,False
0.0015,-0.05,3.7155,6125.35,-34.176,-23.577,179.227,0.5273,False
0.0015,-0.055,3.6378,5863.44,-32.783,-22.103,178.856,0.5526,False
0.0015,-0.06,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.0015,-0.065,3.8499,6947.26,-32.721,-16.129,212.318,0.5547,False
0.0015,-0.07,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0015,-0.075,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0015,-0.08,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0015,-0.085,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0015,-0.1,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.002,-0.04,2.91,3169.85,-58.615,-21.171,54.079,0.7368,False
0.002,-0.05,3.7155,6125.35,-34.176,-23.577,179.227,0.5273,False
0.002,-0.055,3.6378,5863.44,-32.783,-22.103,178.856,0.5526,False
0.002,-0.06,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.002,-0.065,3.8499,6947.26,-32.721,-16.129,212.318,0.5547,False
0.002,-0.07,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.002,-0.075,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.002,-0.08,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.002,-0.085,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.002,-0.1,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0025,-0.04,2.91,3169.85,-58.615,-21.171,54.079,0.7368,False
0.0025,-0.05,3.7155,6125.35,-34.176,-23.577,179.227,0.5273,False
0.0025,-0.055,3.6378,5863.44,-32.783,-22.103,178.856,0.5526,False
0.0025,-0.06,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,False
0.0025,-0.065,3.8499,6947.26,-32.721,-16.129,212.318,0.5547,False
0.0025,-0.07,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0025,-0.075,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0025,-0.08,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0025,-0.085,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.0025,-0.1,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.003,-0.04,2.91,3169.85,-58.615,-21.171,54.079,0.7368,False
0.003,-0.05,3.7155,6125.35,-34.176,-23.577,179.227,0.5273,False
0.003,-0.055,3.6378,5863.44,-32.783,-22.103,178.856,0.5526,False
0.003,-0.06,3.8635,7005.51,-32.784,-15.272,213.689,0.5454,True
0.003,-0.065,3.8499,6947.26,-32.721,-16.129,212.318,0.5547,False
0.003,-0.07,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.003,-0.075,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.003,-0.08,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.003,-0.085,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
0.003,-0.1,3.8455,6937.31,-32.721,-16.129,212.014,0.5557,False
