threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,3.6703,16,20.0,16,True,Robust plateau | baseline inside
0.975,3.7669,8,10.0,8,True,Robust plateau | baseline inside
0.99,3.8249,8,10.0,8,True,Robust plateau | baseline inside
