shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.5342,6349.46,-39.421,0.0,0.0,True
-10.0,1,3.4996,6067.32,-42.305,-0.0346,-2.884,True
-10.0,3,3.3554,4983.58,-53.267,-0.1788,-13.846,False
-10.0,5,3.213,4090.28,-62.146,-0.3212,-22.725,False
-20.0,1,3.4126,5435.87,-48.716,-0.1215,-9.294,True
-20.0,3,3.1035,3576.51,-67.178,-0.4306,-27.757,False
-20.0,5,2.8072,2341.67,-78.994,-0.7269,-39.573,False
-30.0,1,3.3132,4797.81,-55.126,-0.221,-15.705,False
-30.0,3,2.8298,2446.16,-78.012,-0.7044,-38.591,False
-30.0,5,2.3862,1223.64,-89.226,-1.148,-49.804,False
-40.0,1,3.2033,4152.13,-61.537,-0.3309,-22.115,False
-40.0,3,2.5473,1566.09,-86.153,-0.9869,-46.732,False
-40.0,5,1.9761,552.81,-95.015,-1.5581,-55.594,False
