Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.4103,4.5,20.0,✓
5,5,1.7871,19.8,45.0,✓
10,10,3.1758,35.2,65.0,✓
20,21,5.5017,61.0,,
25,27,6.6096,73.2,,
