taxonomy,label,n_days,sharpe,cagr_pct,maxdd_pct,calmar,wf_cv
Volatility,Vol: Low  (rvol30 ≤ p33),274,3.0133,3279.12,-42.22,77.668,0.6038
Volatility,Vol: Mid  (p33 < rvol30 ≤ p67),75,4.4275,13664.27,-24.826,550.402,nan
Volatility,Vol: High (rvol30 > p67),49,2.3073,656.99,-27.676,23.739,nan
Volatility,Vol: Spike (5d/60d ratio > 1.5×),46,1.4617,86.8,-7.073,12.273,nan
BTC Dominance,DOM: Low  (BTC mom ≤ p33 — alt-season),158,3.0326,3625.68,-34.037,106.523,nan
BTC Dominance,DOM: Mid  (neutral momentum),173,3.1393,2572.35,-34.514,74.531,nan
BTC Dominance,DOM: High (BTC mom > p67 — BTC dominant),67,3.9988,13782.71,-24.826,555.173,nan
Trend,Trend: Bull (21d BTC > +5%),92,3.7406,12308.31,-24.826,495.784,nan
Trend,Trend: Sideways (-5% to +5%),185,3.2575,2872.31,-23.895,120.206,0.1655
Trend,Trend: Bear  (21d BTC < -5%),121,3.0812,4023.31,-32.987,121.968,nan
